Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip,IsTouching,MaxForce,Material,Rendering Method,TimeStamp
HYUNWOOK_s,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.584217|y:1.160885|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5866516|y:1.209854|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5880667|y:1.238319|z:1.353552)|Rot(x:358.4391|y:146.7619|z:357.6198),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5876924|y:1.237632|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5889812|y:1.263556|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5903169|y:1.290422|z:1.355446)|Rot(x:357.1539|y:89.99994|z:8.761986E-06),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.24416|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.271846|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.300111|z:1.328133)|Rot(x:357.1538|y:90.00005|z:-1.282242E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5883844|y:1.233758|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5896925|y:1.26007|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689773),Pos(x:-0.5909736|y:1.285838|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689875),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5846661|y:1.218064|z:1.280964)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5855771|y:1.236388|z:1.279752)|Rot(x:357.4341|y:94.13728|z:356.0245),Pos(x:-0.5865284|y:1.255522|z:1.278486)|Rot(x:357.4341|y:94.13724|z:356.0245),No,,,,2024-08-28 11:22:57
HYUNWOOK_s,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:319.4597|y:235.4423|z:1.976382),Pos(x:-0.557686|y:1.150378|z:1.368485)|Rot(x:324.7192|y:236.1195|z:9.629127),Pos(x:-0.5299348|y:1.189839|z:1.377241)|Rot(x:336.0178|y:240.2604|z:25.77932),Pos(x:-0.514729|y:1.213287|z:1.371653)|Rot(x:336.0177|y:240.2604|z:25.77929),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:26.26584|y:94.8715|z:359.7235),Pos(x:-0.5647376|y:1.232854|z:1.353461)|Rot(x:44.54847|y:94.74978|z:359.6521),Pos(x:-0.5466051|y:1.251351|z:1.351797)|Rot(x:61.00262|y:94.54646|z:359.4885),Pos(x:-0.5231712|y:1.264391|z:1.349692)|Rot(x:61.00268|y:94.54633|z:359.4884),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:21.83756|y:90|z:0),Pos(x:-0.5682064|y:1.240436|z:1.328133)|Rot(x:44.69218|y:90|z:0),Pos(x:-0.5487112|y:1.260142|z:1.328133)|Rot(x:65.26129|y:90|z:0),Pos(x:-0.5230085|y:1.271985|z:1.328133)|Rot(x:65.26125|y:90.00014|z:0.0001224102),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:22.64114|y:87.0658|z:0.1613269),Pos(x:-0.5681894|y:1.230229|z:1.305017)|Rot(x:46.06375|y:87.15821|z:0.2145877),Pos(x:-0.5492469|y:1.248508|z:1.306056)|Rot(x:63.67821|y:55.37391|z:331.1581),Pos(x:-0.5255064|y:1.258529|z:1.307325)|Rot(x:63.67821|y:55.37391|z:331.1581),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:22.64791|y:85.1096|z:356.4886),Pos(x:-0.5673951|y:1.215088|z:1.282451)|Rot(x:46.0703|y:85.26356|z:356.5773),Pos(x:-0.5541316|y:1.227821|z:1.282448)|Rot(x:67.02204|y:96.24119|z:6.669236),Pos(x:-0.5364363|y:1.235265|z:1.282756)|Rot(x:67.0221|y:96.24113|z:6.669178),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 11:22:58
HYUNWOOK_s,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:326.2689|y:231.2766|z:356.2393),Pos(x:-0.5648556|y:1.158442|z:1.37102)|Rot(x:330.7922|y:231.2486|z:3.15562),Pos(x:-0.5445356|y:1.201174|z:1.383869)|Rot(x:340.7753|y:233.2782|z:17.88125),Pos(x:-0.5321447|y:1.226784|z:1.382195)|Rot(x:340.7753|y:233.2782|z:17.88124),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:21.34576|y:94.89697|z:359.7338),Pos(x:-0.5684023|y:1.239451|z:1.353774)|Rot(x:36.41663|y:94.81095|z:359.6919),Pos(x:-0.5530597|y:1.260338|z:1.352343)|Rot(x:49.9803|y:94.69855|z:359.6144),Pos(x:-0.5325436|y:1.277636|z:1.350475)|Rot(x:49.98035|y:94.69849|z:359.6143),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:12.91535|y:90|z:0),Pos(x:-0.5760461|y:1.247864|z:1.328133)|Rot(x:29.756|y:90|z:0),Pos(x:-0.5622887|y:1.271929|z:1.328133)|Rot(x:44.91259|y:90|z:0),Pos(x:-0.5423082|y:1.29197|z:1.328133)|Rot(x:44.91255|y:90.00008|z:6.510127E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:14.3686|y:87.04184|z:0.1537015),Pos(x:-0.5745472|y:1.237334|z:1.30469)|Rot(x:32.46287|y:87.0984|z:0.1764662),Pos(x:-0.5604291|y:1.259561|z:1.305486)|Rot(x:47.00334|y:67.02838|z:345.2133),Pos(x:-0.541061|y:1.276573|z:1.306544)|Rot(x:47.00334|y:67.0284|z:345.2133),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:14.37543|y:85.06969|z:356.4759),Pos(x:-0.5727611|y:1.221865|z:1.28199)|Rot(x:32.46956|y:85.16393|z:356.5138),Pos(x:-0.5628495|y:1.237349|z:1.281706)|Rot(x:48.8293|y:91.57713|z:1.328804),Pos(x:-0.5483938|y:1.249985|z:1.281754)|Rot(x:48.82936|y:91.57706|z:1.328758),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 11:22:59
HYUNWOOK_s,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:326.5288|y:231.1942|z:356.3583),Pos(x:-0.5649502|y:1.158557|z:1.370872)|Rot(x:331.0936|y:231.1797|z:3.330799),Pos(x:-0.5447304|y:1.201406|z:1.383485)|Rot(x:341.1598|y:233.2685|z:18.18702),Pos(x:-0.5324028|y:1.227032|z:1.381585)|Rot(x:341.1598|y:233.2685|z:18.18699),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:21.40167|y:94.89669|z:359.7337),Pos(x:-0.5683599|y:1.239434|z:1.353771)|Rot(x:36.16369|y:94.81264|z:359.6929),Pos(x:-0.5531093|y:1.260389|z:1.352347)|Rot(x:49.44943|y:94.70406|z:359.6186),Pos(x:-0.5327538|y:1.277877|z:1.350493)|Rot(x:49.44949|y:94.70396|z:359.6185),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:13.89424|y:90|z:0),Pos(x:-0.5751686|y:1.247655|z:1.328133)|Rot(x:31.50096|y:90|z:0),Pos(x:-0.5606847|y:1.271289|z:1.328133)|Rot(x:47.34698|y:90|z:0),Pos(x:-0.5398709|y:1.290464|z:1.328133)|Rot(x:47.34695|y:90.00008|z:5.544336E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:14.91402|y:87.04336|z:0.1540917),Pos(x:-0.5741192|y:1.237222|z:1.304712)|Rot(x:33.382|y:87.10181|z:0.1783088),Pos(x:-0.5596468|y:1.25922|z:1.305526)|Rot(x:48.18156|y:66.55673|z:344.5701),Pos(x:-0.5399111|y:1.275802|z:1.306603)|Rot(x:48.18154|y:66.55673|z:344.5702),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:14.92084|y:85.07222|z:356.4765),Pos(x:-0.5723999|y:1.22177|z:1.282021)|Rot(x:33.3887|y:85.16958|z:356.5169),Pos(x:-0.5622422|y:1.237094|z:1.281758)|Rot(x:50.07634|y:91.75272|z:1.552742),Pos(x:-0.547514|y:1.249411|z:1.281828)|Rot(x:50.07637|y:91.75268|z:1.552698),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 11:23:00
HYUNWOOK_s,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:326.3733|y:231.2685|z:356.3957),Pos(x:-0.5648317|y:1.158493|z:1.37089)|Rot(x:330.9573|y:231.2587|z:3.395187),Pos(x:-0.5444819|y:1.201283|z:1.383495)|Rot(x:341.0626|y:233.3755|z:18.3026),Pos(x:-0.5320951|y:1.226876|z:1.381551)|Rot(x:341.0626|y:233.3755|z:18.30257),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:21.31781|y:94.89709|z:359.7338),Pos(x:-0.5684235|y:1.239459|z:1.353776)|Rot(x:36.38866|y:94.81113|z:359.692),Pos(x:-0.553091|y:1.260354|z:1.352346)|Rot(x:49.95234|y:94.69886|z:359.6146),Pos(x:-0.5325834|y:1.277661|z:1.350479)|Rot(x:49.95238|y:94.69876|z:359.6146),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:14.10053|y:90|z:0),Pos(x:-0.5749841|y:1.247609|z:1.328133)|Rot(x:31.97719|y:90|z:0),Pos(x:-0.5603043|y:1.271122|z:1.328133)|Rot(x:48.0662|y:90|z:0),Pos(x:-0.5392514|y:1.290034|z:1.328133)|Rot(x:48.06617|y:90.00008|z:6.132403E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:15.34864|y:87.04456|z:0.1544028),Pos(x:-0.5737788|y:1.23713|z:1.304729)|Rot(x:34.28541|y:87.10521|z:0.1802096),Pos(x:-0.5589619|y:1.258896|z:1.305562)|Rot(x:49.42123|y:66.02467|z:343.8585),Pos(x:-0.5388484|y:1.275017|z:1.306656)|Rot(x:49.42122|y:66.02467|z:343.8585),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:15.35546|y:85.07422|z:356.4771),Pos(x:-0.5721126|y:1.221692|z:1.282046)|Rot(x:34.2921|y:85.17523|z:356.5201),Pos(x:-0.5617155|y:1.236855|z:1.281803)|Rot(x:51.39219|y:91.95172|z:1.802342),Pos(x:-0.5467075|y:1.248829|z:1.281896)|Rot(x:51.39223|y:91.95164|z:1.802289),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 11:23:01
HYUNWOOK_s,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:327.0805|y:230.9017|z:356.1031),Pos(x:-0.5654414|y:1.158777|z:1.370884)|Rot(x:331.6855|y:230.8667|z:3.14747),Pos(x:-0.5457307|y:1.201876|z:1.383451)|Rot(x:341.8433|y:232.9442|z:18.16895),Pos(x:-0.5336414|y:1.227607|z:1.381443)|Rot(x:341.8433|y:232.9442|z:18.16894),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:21.12212|y:94.89808|z:359.7342),Pos(x:-0.568572|y:1.239517|z:1.353789)|Rot(x:36.19297|y:94.81245|z:359.6927),Pos(x:-0.5533108|y:1.260464|z:1.352365)|Rot(x:49.75667|y:94.7009|z:359.6162),Pos(x:-0.5328621|y:1.277842|z:1.350502)|Rot(x:49.7567|y:94.70081|z:359.6161),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:13.93593|y:90|z:0),Pos(x:-0.5751313|y:1.247645|z:1.328133)|Rot(x:31.73208|y:90|z:0),Pos(x:-0.5605522|y:1.271221|z:1.328133)|Rot(x:47.74863|y:90|z:0),Pos(x:-0.5396045|y:1.29025|z:1.328133)|Rot(x:47.74859|y:90.00007|z:5.586982E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:15.61117|y:87.0453|z:0.1545936),Pos(x:-0.5735736|y:1.237073|z:1.30474)|Rot(x:34.83955|y:87.10734|z:0.1814184),Pos(x:-0.5585471|y:1.258695|z:1.305583)|Rot(x:50.1828|y:65.67806|z:343.4019),Pos(x:-0.5382062|y:1.274527|z:1.306689)|Rot(x:50.18279|y:65.67806|z:343.4019),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:15.61801|y:85.07545|z:356.4774),Pos(x:-0.5719394|y:1.221644|z:1.282061)|Rot(x:34.84623|y:85.17876|z:356.522),Pos(x:-0.5613967|y:1.236706|z:1.28183)|Rot(x:52.20267|y:92.08189|z:1.963493),Pos(x:-0.5462202|y:1.248466|z:1.281937)|Rot(x:52.20273|y:92.08185|z:1.963462),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 11:23:02
HYUNWOOK_s,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:326.1103|y:231.4133|z:356.5426),Pos(x:-0.5645841|y:1.158387|z:1.370866)|Rot(x:330.7339|y:231.4198|z:3.594101),Pos(x:-0.5439667|y:1.201075|z:1.383381)|Rot(x:340.9174|y:233.6064|z:18.60344),Pos(x:-0.5314638|y:1.226601|z:1.381302)|Rot(x:340.9174|y:233.6064|z:18.60342),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:21.0103|y:94.89863|z:359.7344),Pos(x:-0.568657|y:1.23955|z:1.353796)|Rot(x:36.08116|y:94.81318|z:359.6932),Pos(x:-0.5534366|y:1.260527|z:1.352375)|Rot(x:49.64485|y:94.70207|z:359.6171),Pos(x:-0.5330217|y:1.277945|z:1.350516)|Rot(x:49.64489|y:94.70195|z:359.617),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:14.44207|y:90|z:0),Pos(x:-0.574679|y:1.247531|z:1.328133)|Rot(x:32.71219|y:90|z:0),Pos(x:-0.5596988|y:1.270854|z:1.328133)|Rot(x:49.15531|y:90|z:0),Pos(x:-0.5382903|y:1.289363|z:1.328133)|Rot(x:49.15527|y:90.00008|z:5.743944E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:15.92057|y:87.04617|z:0.1548339),Pos(x:-0.5733321|y:1.237004|z:1.304752)|Rot(x:35.45203|y:87.10971|z:0.1827805),Pos(x:-0.5580755|y:1.258464|z:1.305607)|Rot(x:51.00634|y:65.28506|z:342.8904),Pos(x:-0.5374928|y:1.27398|z:1.306725)|Rot(x:51.00634|y:65.28509|z:342.8904),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:15.92738|y:85.07691|z:356.4778),Pos(x:-0.5717356|y:1.221586|z:1.282078)|Rot(x:35.45871|y:85.18274|z:356.5243),Pos(x:-0.5610331|y:1.236535|z:1.281861)|Rot(x:53.08103|y:92.23006|z:2.145077),Pos(x:-0.5456774|y:1.24806|z:1.281983)|Rot(x:53.08109|y:92.23002|z:2.145046),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 11:23:03
HYUNWOOK_s,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:327.2491|y:231.0814|z:357.1554),Pos(x:-0.5649456|y:1.158887|z:1.370153)|Rot(x:332.1542|y:231.1683|z:4.598056),Pos(x:-0.5446983|y:1.202101|z:1.381405)|Rot(x:342.8993|y:233.7516|z:20.49254),Pos(x:-0.532468|y:1.227617|z:1.378)|Rot(x:342.8993|y:233.7516|z:20.49253),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:21.48555|y:94.89626|z:359.7335),Pos(x:-0.5682963|y:1.239409|z:1.353765)|Rot(x:36.74169|y:94.80876|z:359.6906),Pos(x:-0.5528359|y:1.260208|z:1.352324)|Rot(x:50.47213|y:94.69337|z:359.6104),Pos(x:-0.5321726|y:1.277329|z:1.350444)|Rot(x:50.47219|y:94.69328|z:359.6104),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:18.36428|y:90|z:0),Pos(x:-0.571212|y:1.246511|z:1.328133)|Rot(x:39.78969|y:90|z:0),Pos(x:-0.5534723|y:1.26781|z:1.328133)|Rot(x:59.07257|y:90|z:0),Pos(x:-0.529196|y:1.282355|z:1.328133)|Rot(x:59.07254|y:90.00008|z:6.977004E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:18.1544|y:87.05252|z:0.156696),Pos(x:-0.5715998|y:1.236473|z:1.304842)|Rot(x:39.40531|y:87.12601|z:0.1926918),Pos(x:-0.5549019|y:1.256828|z:1.305769)|Rot(x:56.06541|y:62.36711|z:339.2483),Pos(x:-0.5329283|y:1.270297|z:1.306954)|Rot(x:56.06541|y:62.36713|z:339.2483),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:18.16121|y:85.08748|z:356.4809),Pos(x:-0.5702735|y:1.221137|z:1.282204)|Rot(x:39.41195|y:85.2099|z:356.5408),Pos(x:-0.5585696|y:1.235316|z:1.282071)|Rot(x:58.53144|y:93.35134|z:3.470376),Pos(x:-0.5421834|y:1.245321|z:1.282276)|Rot(x:58.53148|y:93.35128|z:3.470302),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 11:23:04
HYUNWOOK_s,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:327.3703|y:232.0173|z:0.9786645),Pos(x:-0.5629154|y:1.158978|z:1.367531)|Rot(x:334.6818|y:232.9504|z:11.77139),Pos(x:-0.5405062|y:1.202366|z:1.371915)|Rot(x:349.7881|y:239.7994|z:35.10511),Pos(x:-0.5286891|y:1.225312|z:1.359829)|Rot(x:349.7881|y:239.7994|z:35.10511),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:28.55814|y:94.85892|z:359.7177),Pos(x:-0.5630804|y:1.236966|z:1.35332)|Rot(x:64.19662|y:94.481|z:359.4304),Pos(x:-0.5398052|y:1.248263|z:1.351237)|Rot(x:83.72205|y:277.2484|z:182.2681),Pos(x:-0.5131667|y:1.245324|z:1.348922)|Rot(x:83.72208|y:277.2489|z:182.2687),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:32.7704|y:90|z:0),Pos(x:-0.5592666|y:1.240796|z:1.328133)|Rot(x:74.60975|y:90|z:0),Pos(x:-0.532541|y:1.248152|z:1.328133)|Rot(x:67.73483|y:270|z:180),Pos(x:-0.5063511|y:1.237429|z:1.328133)|Rot(x:67.73489|y:269.9999|z:179.9999),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:24.18921|y:87.07058|z:0.1632266),Pos(x:-0.5670372|y:1.234703|z:1.305076)|Rot(x:62.80541|y:87.29349|z:0.3258044),Pos(x:-0.5436385|y:1.246743|z:1.306332)|Rot(x:74.61916|y:328.1748|z:240.2597),Pos(x:-0.5180973|y:1.243348|z:1.30766)|Rot(x:74.61915|y:328.1748|z:240.2596),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:24.19598|y:85.11756|z:356.4917),Pos(x:-0.5664225|y:1.219639|z:1.282534)|Rot(x:62.81165|y:85.48886|z:356.7626),Pos(x:-0.5500628|y:1.228027|z:1.282783)|Rot(x:81.02364|y:235.7094|z:147.1797),Pos(x:-0.5310324|y:1.225509|z:1.283164)|Rot(x:81.0236|y:235.7097|z:147.18),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 11:23:05
HYUNWOOK_s,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:318.227|y:225.3371|z:13.11778),Pos(x:-0.5547679|y:1.153896|z:1.36649)|Rot(x:326.4633|y:228.8527|z:24.26607),Pos(x:-0.5229138|y:1.191153|z:1.367566)|Rot(x:340.9901|y:240.3325|z:46.70382),Pos(x:-0.5071151|y:1.209632|z:1.352693)|Rot(x:340.9901|y:240.3325|z:46.70381),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:29.48698|y:94.85365|z:359.7151),Pos(x:-0.5624189|y:1.236597|z:1.353264)|Rot(x:75.66037|y:94.02384|z:358.9988),Pos(x:-0.5373693|y:1.243025|z:1.351047)|Rot(x:62.77888|y:275.4759|z:180.5421),Pos(x:-0.5135345|y:1.230721|z:1.349018)|Rot(x:62.77883|y:275.476|z:180.5422),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:30.62786|y:90|z:0),Pos(x:-0.5609465|y:1.241833|z:1.328133)|Rot(x:78.44788|y:90|z:0),Pos(x:-0.5337884|y:1.247384|z:1.328133)|Rot(x:58.51414|y:270|z:180),Pos(x:-0.5096551|y:1.232603|z:1.328133)|Rot(x:58.51416|y:269.9999|z:179.9999),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:24.18921|y:87.07058|z:0.1632266),Pos(x:-0.5670372|y:1.234703|z:1.305076)|Rot(x:62.80541|y:87.29349|z:0.3258044),Pos(x:-0.5436385|y:1.246743|z:1.306332)|Rot(x:74.61916|y:328.1748|z:240.2597),Pos(x:-0.5180973|y:1.243348|z:1.30766)|Rot(x:74.61915|y:328.1748|z:240.2596),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:24.19598|y:85.11756|z:356.4917),Pos(x:-0.5664225|y:1.219639|z:1.282534)|Rot(x:62.81165|y:85.48886|z:356.7626),Pos(x:-0.5500628|y:1.228027|z:1.282783)|Rot(x:81.02364|y:235.7094|z:147.1797),Pos(x:-0.5310324|y:1.225509|z:1.283164)|Rot(x:81.0236|y:235.7097|z:147.18),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 11:23:06
HYUNWOOK_s,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:318.4994|y:225.5754|z:12.75909),Pos(x:-0.5549813|y:1.154077|z:1.36649)|Rot(x:326.7514|y:229.0182|z:23.9654),Pos(x:-0.5233763|y:1.191546|z:1.367566)|Rot(x:341.3223|y:240.3969|z:46.50414),Pos(x:-0.5077012|y:1.21013|z:1.352693)|Rot(x:341.3223|y:240.397|z:46.50414),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:29.48698|y:94.85365|z:359.7151),Pos(x:-0.5624189|y:1.236597|z:1.353264)|Rot(x:75.66037|y:94.02384|z:358.9988),Pos(x:-0.5373693|y:1.243025|z:1.351047)|Rot(x:62.77888|y:275.4759|z:180.5421),Pos(x:-0.5135345|y:1.230721|z:1.349018)|Rot(x:62.77883|y:275.476|z:180.5422),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:30.62786|y:90|z:0),Pos(x:-0.5609465|y:1.241833|z:1.328133)|Rot(x:78.44788|y:90|z:0),Pos(x:-0.5337884|y:1.247384|z:1.328133)|Rot(x:58.51414|y:270|z:180),Pos(x:-0.5096551|y:1.232603|z:1.328133)|Rot(x:58.51416|y:269.9999|z:179.9999),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:24.18921|y:87.07058|z:0.1632266),Pos(x:-0.5670372|y:1.234703|z:1.305076)|Rot(x:62.80541|y:87.29349|z:0.3258044),Pos(x:-0.5436385|y:1.246743|z:1.306332)|Rot(x:74.61916|y:328.1748|z:240.2597),Pos(x:-0.5180973|y:1.243348|z:1.30766)|Rot(x:74.61915|y:328.1748|z:240.2596),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:24.19598|y:85.11756|z:356.4917),Pos(x:-0.5664225|y:1.219639|z:1.282534)|Rot(x:62.81165|y:85.48886|z:356.7626),Pos(x:-0.5500628|y:1.228027|z:1.282783)|Rot(x:81.02364|y:235.7094|z:147.1797),Pos(x:-0.5310324|y:1.225509|z:1.283164)|Rot(x:81.0236|y:235.7097|z:147.18),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 11:23:07
HYUNWOOK_s,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:319.7385|y:226.608|z:11.18164),Pos(x:-0.5559561|y:1.154875|z:1.36649)|Rot(x:328.0568|y:229.7342|z:22.63638),Pos(x:-0.5254898|y:1.193275|z:1.367566)|Rot(x:342.8196|y:240.6707|z:45.61502),Pos(x:-0.5103795|y:1.212321|z:1.352693)|Rot(x:342.8196|y:240.6707|z:45.61501),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:29.48698|y:94.85365|z:359.7151),Pos(x:-0.5624189|y:1.236597|z:1.353264)|Rot(x:75.66037|y:94.02384|z:358.9988),Pos(x:-0.5373693|y:1.243025|z:1.351047)|Rot(x:62.77888|y:275.4759|z:180.5421),Pos(x:-0.5135345|y:1.230721|z:1.349018)|Rot(x:62.77883|y:275.476|z:180.5422),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:30.62786|y:90|z:0),Pos(x:-0.5609465|y:1.241833|z:1.328133)|Rot(x:78.44788|y:90|z:0),Pos(x:-0.5337884|y:1.247384|z:1.328133)|Rot(x:58.51414|y:270|z:180),Pos(x:-0.5096551|y:1.232603|z:1.328133)|Rot(x:58.51416|y:269.9999|z:179.9999),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:24.18921|y:87.07058|z:0.1632266),Pos(x:-0.5670372|y:1.234703|z:1.305076)|Rot(x:62.80541|y:87.29349|z:0.3258044),Pos(x:-0.5436385|y:1.246743|z:1.306332)|Rot(x:74.61916|y:328.1748|z:240.2597),Pos(x:-0.5180973|y:1.243348|z:1.30766)|Rot(x:74.61915|y:328.1748|z:240.2596),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:24.19598|y:85.11756|z:356.4917),Pos(x:-0.5664225|y:1.219639|z:1.282534)|Rot(x:62.81165|y:85.48886|z:356.7626),Pos(x:-0.5500628|y:1.228027|z:1.282783)|Rot(x:81.02364|y:235.7094|z:147.1797),Pos(x:-0.5310324|y:1.225509|z:1.283164)|Rot(x:81.0236|y:235.7097|z:147.18),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 11:23:08
