Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip,IsTouching,MaxForce,Material,Rendering Method,TimeStamp
heymin_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.584217|y:1.160885|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5866516|y:1.209854|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5880667|y:1.238319|z:1.353552)|Rot(x:358.4391|y:146.7619|z:357.6198),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5876924|y:1.237632|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5889812|y:1.263556|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5903169|y:1.290422|z:1.355446)|Rot(x:357.1539|y:89.99994|z:8.761986E-06),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.24416|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.271846|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.300111|z:1.328133)|Rot(x:357.1538|y:90.00005|z:-1.282242E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5883844|y:1.233758|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5896925|y:1.26007|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689773),Pos(x:-0.5909736|y:1.285838|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689875),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5846661|y:1.218064|z:1.280964)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5855771|y:1.236388|z:1.279752)|Rot(x:357.4341|y:94.13728|z:356.0245),Pos(x:-0.5865284|y:1.255522|z:1.278486)|Rot(x:357.4341|y:94.13724|z:356.0245),No,,,,2024-08-28 09:16:54
heymin_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:320.8359|y:224.9651|z:31.86209),Pos(x:-0.5489915|y:1.145944|z:1.353837)|Rot(x:333.4911|y:238.082|z:50.60585),Pos(x:-0.5171699|y:1.173789|z:1.329018)|Rot(x:344.2212|y:274.8428|z:95.8163),Pos(x:-0.520346|y:1.17101|z:1.300832)|Rot(x:344.2212|y:274.8428|z:95.81629),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:26.78925|y:94.86867|z:359.7222),Pos(x:-0.5643561|y:1.232663|z:1.353429)|Rot(x:34.23271|y:94.82513|z:359.7001),Pos(x:-0.5498179|y:1.254122|z:1.352065)|Rot(x:40.93182|y:94.77885|z:359.6718),Pos(x:-0.5322685|y:1.274444|z:1.350443)|Rot(x:40.93187|y:94.77876|z:359.6718),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:7.271727|y:90|z:0),Pos(x:-0.5811649|y:1.243801|z:1.328133)|Rot(x:17.57971|y:90|z:0),Pos(x:-0.5727927|y:1.270226|z:1.328133)|Rot(x:26.85689|y:90|z:0),Pos(x:-0.5600078|y:1.295473|z:1.328133)|Rot(x:26.85685|y:90.00005|z:1.531195E-05),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:25.22828|y:87.07387|z:0.1646001),Pos(x:-0.5662715|y:1.229376|z:1.305115)|Rot(x:46.56628|y:87.16097|z:0.2165823),Pos(x:-0.5471696|y:1.247488|z:1.306162)|Rot(x:62.4999|y:56.76166|z:332.7183),Pos(x:-0.5236759|y:1.258076|z:1.307419)|Rot(x:62.4999|y:56.76167|z:332.7183),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:25.23503|y:85.123|z:356.494),Pos(x:-0.5657763|y:1.214366|z:1.282589)|Rot(x:46.57283|y:85.26811|z:356.5806),Pos(x:-0.5524021|y:1.226983|z:1.282596)|Rot(x:65.67332|y:95.6403|z:6.019772),Pos(x:-0.5348896|y:1.234849|z:1.282889)|Rot(x:65.67339|y:95.64021|z:6.019687),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 09:16:55
heymin_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:307.7076|y:211.2642|z:31.67844),Pos(x:-0.5469819|y:1.144858|z:1.366856)|Rot(x:314.6128|y:218.6891|z:39.00388),Pos(x:-0.5059409|y:1.171617|z:1.368737)|Rot(x:326.4263|y:235.0192|z:55.19598),Pos(x:-0.485154|y:1.18517|z:1.354721)|Rot(x:326.4263|y:235.0192|z:55.19596),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:30.50074|y:94.84781|z:359.7122),Pos(x:-0.5617039|y:1.236183|z:1.353203)|Rot(x:78.12197|y:93.81487|z:358.7952),Pos(x:-0.5364019|y:1.241524|z:1.350969)|Rot(x:59.01356|y:275.4068|z:180.4816),Pos(x:-0.513423|y:1.227676|z:1.349022)|Rot(x:59.0135|y:275.4069|z:180.4817),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:31.34131|y:90|z:0),Pos(x:-0.5603828|y:1.241495|z:1.328133)|Rot(x:80.18053|y:90|z:0),Pos(x:-0.5330694|y:1.246222|z:1.328133)|Rot(x:55.86417|y:270|z:180),Pos(x:-0.5096452|y:1.230341|z:1.328133)|Rot(x:55.86421|y:269.9999|z:179.9999),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:25.56075|y:87.07492|z:0.1650475),Pos(x:-0.5660279|y:1.234235|z:1.305128)|Rot(x:66.13627|y:87.34029|z:0.3680494),Pos(x:-0.54197|y:1.244892|z:1.306414)|Rot(x:71.62642|y:314.5044|z:225.9712),Pos(x:-0.5168304|y:1.23924|z:1.307716)|Rot(x:71.6264|y:314.5044|z:225.9712),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:25.5675|y:85.12477|z:356.4948),Pos(x:-0.5655707|y:1.219243|z:1.282607)|Rot(x:66.14239|y:85.56683|z:356.833),Pos(x:-0.5487529|y:1.226668|z:1.282892)|Rot(x:76.3529|y:246.1435|z:157.7881),Pos(x:-0.5300198|y:1.222474|z:1.28324)|Rot(x:76.35288|y:246.1436|z:157.7882),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 09:16:56
heymin_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:309.6895|y:215.0499|z:26.82968),Pos(x:-0.5484952|y:1.147026|z:1.366856)|Rot(x:316.9431|y:221.388|z:35.13568),Pos(x:-0.509226|y:1.176324|z:1.368737)|Rot(x:329.4164|y:236.2998|z:52.78572),Pos(x:-0.4893366|y:1.191162|z:1.354721)|Rot(x:329.4164|y:236.2998|z:52.7857),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:16.16215|y:94.922|z:359.7419),Pos(x:-0.5723981|y:1.240813|z:1.354118)|Rot(x:25.55663|y:94.87531|z:359.7252),Pos(x:-0.5612518|y:1.264229|z:1.353042)|Rot(x:34.01166|y:94.82655|z:359.7009),Pos(x:-0.5462704|y:1.286526|z:1.351636)|Rot(x:34.0117|y:94.82646|z:359.7008),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:0.1596787|y:90|z:0),Pos(x:-0.5877016|y:1.2492|z:1.328133)|Rot(x:4.133318|y:90|z:0),Pos(x:-0.5857036|y:1.276847|z:1.328133)|Rot(x:7.709587|y:90|z:0),Pos(x:-0.5819071|y:1.304891|z:1.328133)|Rot(x:7.709552|y:90.00006|z:3.877026E-06),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:2.759143|y:87.01087|z:0.1490653),Pos(x:-0.5838429|y:1.238735|z:1.304207)|Rot(x:9.789476|y:87.02939|z:0.1510988),Pos(x:-0.5793733|y:1.264696|z:1.304508)|Rot(x:15.69055|y:72.92656|z:356.2675),Pos(x:-0.5722244|y:1.289482|z:1.304947)|Rot(x:15.69055|y:72.92657|z:356.2675),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:2.766035|y:85.01812|z:356.4682),Pos(x:-0.5806068|y:1.223052|z:1.281309)|Rot(x:9.796339|y:85.04896|z:356.4715),Pos(x:-0.5773983|y:1.241136|z:1.280451)|Rot(x:16.3347|y:89.38635|z:357.6827),Pos(x:-0.5719948|y:1.259546|z:1.279733)|Rot(x:16.33474|y:89.38631|z:357.6827),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 09:16:57
heymin_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:309.3943|y:214.5353|z:27.49689),Pos(x:-0.5482707|y:1.146722|z:1.366856)|Rot(x:316.6024|y:221.0222|z:35.66977),Pos(x:-0.5087386|y:1.175664|z:1.368737)|Rot(x:328.9865|y:236.1283|z:53.12059),Pos(x:-0.488716|y:1.190323|z:1.354721)|Rot(x:328.9865|y:236.1284|z:53.12056),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:23.26057|y:94.88728|z:359.7301),Pos(x:-0.5669597|y:1.238857|z:1.353651)|Rot(x:49.35622|y:94.70502|z:359.6193),Pos(x:-0.5473459|y:1.255763|z:1.351864)|Rot(x:72.84151|y:94.19073|z:359.1595),Pos(x:-0.5217435|y:1.263698|z:1.349592)|Rot(x:72.84158|y:94.19054|z:359.1593),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:15.99414|y:90|z:0),Pos(x:-0.5732988|y:1.247156|z:1.328133)|Rot(x:37.95203|y:90|z:0),Pos(x:-0.5562512|y:1.269013|z:1.328133)|Rot(x:57.71413|y:90|z:0),Pos(x:-0.5323266|y:1.28413|z:1.328133)|Rot(x:57.71409|y:90.0001|z:8.311649E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:20.38735|y:87.05903|z:0.1588451),Pos(x:-0.5698901|y:1.235874|z:1.30493)|Rot(x:46.85521|y:87.16255|z:0.2177324),Pos(x:-0.5506972|y:1.25389|z:1.305981)|Rot(x:66.61762|y:51.14451|z:326.4889),Pos(x:-0.5263851|y:1.262427|z:1.307276)|Rot(x:66.6176|y:51.14456|z:326.489),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:20.39414|y:85.09834|z:356.4844),Pos(x:-0.5688305|y:1.22063|z:1.282328)|Rot(x:46.86175|y:85.27077|z:356.5826),Pos(x:-0.555393|y:1.233179|z:1.28234)|Rot(x:70.47493|y:98.17693|z:8.728852),Pos(x:-0.5372742|y:1.239522|z:1.28268)|Rot(x:70.47503|y:98.17689|z:8.728789),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 09:16:58
heymin_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:309.3211|y:214.4053|z:27.665),Pos(x:-0.548215|y:1.146646|z:1.366856)|Rot(x:316.5176|y:220.9297|z:35.80423),Pos(x:-0.5086176|y:1.175498|z:1.368737)|Rot(x:328.8792|y:236.0849|z:53.20476),Pos(x:-0.488562|y:1.190112|z:1.354721)|Rot(x:328.8792|y:236.0849|z:53.20474),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:20.92179|y:94.89906|z:359.7345),Pos(x:-0.5687243|y:1.239576|z:1.353802)|Rot(x:50.7752|y:94.6901|z:359.6079),Pos(x:-0.5486993|y:1.255989|z:1.351981)|Rot(x:77.64187|y:93.86209|z:358.8414),Pos(x:-0.5225243|y:1.261745|z:1.349669)|Rot(x:77.64194|y:93.86182|z:358.8411),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:18.30117|y:90|z:0),Pos(x:-0.5712672|y:1.246529|z:1.328133)|Rot(x:46.04908|y:90|z:0),Pos(x:-0.551311|y:1.265767|z:1.328133)|Rot(x:71.02223|y:90|z:0),Pos(x:-0.5245492|y:1.274971|z:1.328133)|Rot(x:71.02219|y:90.00014|z:0.0001365189),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:21.01768|y:87.06091|z:0.1595032),Pos(x:-0.5694118|y:1.235693|z:1.304954)|Rot(x:52.21132|y:87.19573|z:0.2429973),Pos(x:-0.5486231|y:1.251836|z:1.306084)|Rot(x:73.47549|y:32.21803|z:306.3865),Pos(x:-0.5232284|y:1.256189|z:1.307425)|Rot(x:73.47549|y:32.21804|z:306.3865),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:21.02446|y:85.10146|z:356.4856),Pos(x:-0.5684268|y:1.220477|z:1.282362)|Rot(x:52.2178|y:85.326|z:356.6246),Pos(x:-0.5538806|y:1.231722|z:1.282465)|Rot(x:79.60585|y:110.0353|z:20.91842),Pos(x:-0.5349594|y:1.234958|z:1.282862)|Rot(x:79.60588|y:110.0351|z:20.91822),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 09:16:59
heymin_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:309.3943|y:214.5353|z:27.49689),Pos(x:-0.5482707|y:1.146722|z:1.366856)|Rot(x:316.6024|y:221.0222|z:35.66977),Pos(x:-0.5087386|y:1.175664|z:1.368737)|Rot(x:328.9865|y:236.1283|z:53.12059),Pos(x:-0.488716|y:1.190323|z:1.354721)|Rot(x:328.9865|y:236.1284|z:53.12056),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:22.11169|y:94.89312|z:359.7324),Pos(x:-0.5678229|y:1.239219|z:1.353725)|Rot(x:53.47863|y:94.65903|z:359.5833),Pos(x:-0.5470486|y:1.254666|z:1.351843)|Rot(x:81.70632|y:93.29253|z:358.2807),Pos(x:-0.5205321|y:1.258544|z:1.349509)|Rot(x:81.70634|y:93.29221|z:358.2804),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:17.81686|y:90|z:0),Pos(x:-0.5716916|y:1.246667|z:1.328133)|Rot(x:44.85204|y:90|z:0),Pos(x:-0.5521415|y:1.266318|z:1.328133)|Rot(x:69.18373|y:90|z:0),Pos(x:-0.5256889|y:1.276375|z:1.328133)|Rot(x:69.18369|y:90.00013|z:0.0001201235),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:21.01146|y:87.0609|z:0.1595021),Pos(x:-0.5694165|y:1.235695|z:1.304954)|Rot(x:52.07538|y:87.19479|z:0.2422596),Pos(x:-0.5486662|y:1.251887|z:1.306082)|Rot(x:73.32857|y:32.90706|z:307.1061),Pos(x:-0.5232909|y:1.256352|z:1.307422)|Rot(x:73.32856|y:32.90705|z:307.1061),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:21.01825|y:85.10141|z:356.4855),Pos(x:-0.5684308|y:1.220478|z:1.282362)|Rot(x:52.08187|y:85.32446|z:356.6234),Pos(x:-0.5539112|y:1.231758|z:1.282463)|Rot(x:79.37632|y:109.4639|z:20.33847),Pos(x:-0.5350044|y:1.235077|z:1.282859)|Rot(x:79.3764|y:109.4638|z:20.33833),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 09:17:00
heymin_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:309.3211|y:214.4053|z:27.665),Pos(x:-0.548215|y:1.146646|z:1.366856)|Rot(x:316.5176|y:220.9297|z:35.80423),Pos(x:-0.5086176|y:1.175498|z:1.368737)|Rot(x:328.8792|y:236.0849|z:53.20476),Pos(x:-0.488562|y:1.190112|z:1.354721)|Rot(x:328.8792|y:236.0849|z:53.20474),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:17.5162|y:94.9156|z:359.74),Pos(x:-0.5713427|y:1.240492|z:1.354027)|Rot(x:50.08356|y:94.69749|z:359.6136),Pos(x:-0.5515167|y:1.257147|z:1.352222)|Rot(x:79.39241|y:93.66978|z:358.6529),Pos(x:-0.5251783|y:1.262097|z:1.349899)|Rot(x:79.39249|y:93.66942|z:358.6526),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:12.69462|y:90|z:0),Pos(x:-0.5762445|y:1.247909|z:1.328133)|Rot(x:36.38533|y:90|z:0),Pos(x:-0.5598009|y:1.270224|z:1.328133)|Rot(x:57.70701|y:90|z:0),Pos(x:-0.5358781|y:1.285344|z:1.328133)|Rot(x:57.70695|y:90.00009|z:7.351166E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:17.8158|y:87.05154|z:0.1563975),Pos(x:-0.571861|y:1.236558|z:1.304828)|Rot(x:49.61159|y:87.17873|z:0.2297884),Pos(x:-0.551825|y:1.253628|z:1.305921)|Rot(x:72.21155|y:37.47887|z:311.8972),Pos(x:-0.5266029|y:1.258891|z:1.307255)|Rot(x:72.21155|y:37.4789|z:311.8972),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:17.82261|y:85.08586|z:356.4803),Pos(x:-0.5704939|y:1.221208|z:1.282185)|Rot(x:49.6181|y:85.29768|z:356.6026),Pos(x:-0.5564708|y:1.2331|z:1.282245)|Rot(x:77.71064|y:106.0133|z:16.82608),Pos(x:-0.5376775|y:1.237011|z:1.282634)|Rot(x:77.71067|y:106.0132|z:16.82597),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 09:17:01
heymin_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:309.3943|y:214.5353|z:27.49689),Pos(x:-0.5482707|y:1.146722|z:1.366856)|Rot(x:316.6024|y:221.0222|z:35.66977),Pos(x:-0.5087386|y:1.175664|z:1.368737)|Rot(x:328.9865|y:236.1283|z:53.12059),Pos(x:-0.488716|y:1.190323|z:1.354721)|Rot(x:328.9865|y:236.1284|z:53.12056),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:16.28526|y:94.92143|z:359.7417),Pos(x:-0.5723018|y:1.240784|z:1.354109)|Rot(x:49.00924|y:94.70853|z:359.622),Pos(x:-0.5527905|y:1.25781|z:1.352331)|Rot(x:78.45921|y:93.7794|z:358.7605),Pos(x:-0.5265361|y:1.26319|z:1.350013)|Rot(x:78.4593|y:93.77915|z:358.7603),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:12.68509|y:90|z:0),Pos(x:-0.5762531|y:1.247911|z:1.328133)|Rot(x:37.20783|y:90|z:0),Pos(x:-0.5594909|y:1.269988|z:1.328133)|Rot(x:59.2783|y:90|z:0),Pos(x:-0.5351625|y:1.284446|z:1.328133)|Rot(x:59.27826|y:90.0001|z:8.690331E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:17.12929|y:87.0496|z:0.155815),Pos(x:-0.5723922|y:1.236725|z:1.304801)|Rot(x:49.094|y:87.17554|z:0.2273781),Pos(x:-0.552511|y:1.253976|z:1.305886)|Rot(x:71.97215|y:38.3329|z:312.7957),Pos(x:-0.5273229|y:1.2594|z:1.307219)|Rot(x:71.97221|y:38.33293|z:312.7957),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:17.1361|y:85.08259|z:356.4794),Pos(x:-0.5709423|y:1.22135|z:1.282146)|Rot(x:49.10054|y:85.2924|z:356.5986),Pos(x:-0.5570266|y:1.233367|z:1.282198)|Rot(x:77.36874|y:105.4266|z:16.22688),Pos(x:-0.5382586|y:1.237398|z:1.282585)|Rot(x:77.36877|y:105.4265|z:16.22673),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 09:17:02
heymin_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:309.4677|y:214.6648|z:27.32931),Pos(x:-0.5483266|y:1.146798|z:1.366856)|Rot(x:316.6873|y:221.1142|z:35.53569),Pos(x:-0.5088599|y:1.175829|z:1.368737)|Rot(x:329.0939|y:236.1716|z:53.03658),Pos(x:-0.4888704|y:1.190533|z:1.354721)|Rot(x:329.0939|y:236.1716|z:53.03656),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:17.35207|y:94.9164|z:359.7402),Pos(x:-0.5714702|y:1.240532|z:1.354038)|Rot(x:48.92783|y:94.70934|z:359.6226),Pos(x:-0.551983|y:1.257585|z:1.352261)|Rot(x:77.34462|y:93.88955|z:358.8682),Pos(x:-0.5258381|y:1.263477|z:1.349951)|Rot(x:77.34467|y:93.88923|z:358.8679),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:14.556|y:90|z:0),Pos(x:-0.5745774|y:1.247505|z:1.328133)|Rot(x:40.80182|y:90|z:0),Pos(x:-0.5564642|y:1.268488|z:1.328133)|Rot(x:64.42307|y:90|z:0),Pos(x:-0.5309374|y:1.280706|z:1.328133)|Rot(x:64.42301|y:90.00013|z:0.0001147004),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:18.39182|y:87.05321|z:0.1569115),Pos(x:-0.5714169|y:1.236412|z:1.304851)|Rot(x:50.57029|y:87.18477|z:0.234432),Pos(x:-0.5510985|y:1.253144|z:1.305958)|Rot(x:73.02942|y:34.23937|z:308.4994),Pos(x:-0.5257632|y:1.257832|z:1.307296)|Rot(x:73.02942|y:34.23943|z:308.4994),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:18.39862|y:85.08861|z:356.4812),Pos(x:-0.5701191|y:1.221085|z:1.282217)|Rot(x:50.57682|y:85.30776|z:356.6104),Pos(x:-0.5558997|y:1.232741|z:1.282293)|Rot(x:78.91749|y:108.3999|z:19.2573),Pos(x:-0.5370225|y:1.236225|z:1.282687)|Rot(x:78.91749|y:108.3998|z:19.25715),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 09:17:03
heymin_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:309.3211|y:214.4053|z:27.665),Pos(x:-0.548215|y:1.146646|z:1.366856)|Rot(x:316.5176|y:220.9297|z:35.80423),Pos(x:-0.5086176|y:1.175498|z:1.368737)|Rot(x:328.8792|y:236.0849|z:53.20476),Pos(x:-0.488562|y:1.190112|z:1.354721)|Rot(x:328.8792|y:236.0849|z:53.20474),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:18.45991|y:94.91109|z:359.7386),Pos(x:-0.5706118|y:1.240254|z:1.353964)|Rot(x:48.20898|y:94.71645|z:359.6279),Pos(x:-0.5513393|y:1.257551|z:1.352205)|Rot(x:74.98215|y:94.06959|z:359.0431),Pos(x:-0.5254591|y:1.26452|z:1.349913)|Rot(x:74.98217|y:94.06936|z:359.0428),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:14.86649|y:90|z:0),Pos(x:-0.5743006|y:1.247432|z:1.328133)|Rot(x:39.83295|y:90|z:0),Pos(x:-0.5565448|y:1.268718|z:1.328133)|Rot(x:62.30277|y:90|z:0),Pos(x:-0.5314875|y:1.281872|z:1.328133)|Rot(x:62.30273|y:90.00011|z:9.184311E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:19.24154|y:87.05566|z:0.1577037),Pos(x:-0.5707645|y:1.23619|z:1.304885)|Rot(x:50.33031|y:87.18325|z:0.2332594),Pos(x:-0.5505162|y:1.253007|z:1.305988)|Rot(x:72.26491|y:37.28304|z:311.6913),Pos(x:-0.5252866|y:1.258234|z:1.307322)|Rot(x:72.26494|y:37.28303|z:311.6913),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:19.24832|y:85.09272|z:356.4825),Pos(x:-0.5695685|y:1.220897|z:1.282264)|Rot(x:50.33681|y:85.30522|z:356.6084),Pos(x:-0.5553977|y:1.232612|z:1.282337)|Rot(x:77.78757|y:106.1502|z:16.96583),Pos(x:-0.5365989|y:1.236497|z:1.282726)|Rot(x:77.78761|y:106.1501|z:16.96567),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 09:17:05
heymin_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:309.3943|y:214.5353|z:27.49689),Pos(x:-0.5482707|y:1.146722|z:1.366856)|Rot(x:316.6024|y:221.0222|z:35.66977),Pos(x:-0.5087386|y:1.175664|z:1.368737)|Rot(x:328.9865|y:236.1283|z:53.12059),Pos(x:-0.488716|y:1.190323|z:1.354721)|Rot(x:328.9865|y:236.1284|z:53.12056),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:18.50095|y:94.91089|z:359.7385),Pos(x:-0.5705801|y:1.240243|z:1.353961)|Rot(x:48.25001|y:94.71603|z:359.6276),Pos(x:-0.5512953|y:1.257526|z:1.352201)|Rot(x:75.02313|y:94.06695|z:359.0405),Pos(x:-0.5254101|y:1.264477|z:1.349909)|Rot(x:75.02321|y:94.06671|z:359.0403),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:13.45222|y:90|z:0),Pos(x:-0.5755644|y:1.247751|z:1.328133)|Rot(x:36.41301|y:90|z:0),Pos(x:-0.55911|y:1.270059|z:1.328133)|Rot(x:57.07775|y:90|z:0),Pos(x:-0.5353547|y:1.28544|z:1.328133)|Rot(x:57.07771|y:90.00009|z:7.540209E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:19.77376|y:87.05722|z:0.1582182),Pos(x:-0.5703576|y:1.236045|z:1.304906)|Rot(x:51.568|y:87.19134|z:0.2395436),Pos(x:-0.5497512|y:1.25242|z:1.306027)|Rot(x:73.416|y:32.49984|z:306.6808),Pos(x:-0.5243643|y:1.256819|z:1.307367)|Rot(x:73.41602|y:32.49988|z:306.6808),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:19.78056|y:85.09532|z:356.4834),Pos(x:-0.569225|y:1.220775|z:1.282294)|Rot(x:51.57448|y:85.31872|z:356.6189),Pos(x:-0.5548055|y:1.232182|z:1.282387)|Rot(x:79.5126|y:109.7997|z:20.67938),Pos(x:-0.5358901|y:1.235452|z:1.282783)|Rot(x:79.51268|y:109.7996|z:20.67922),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 09:17:06
