Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip,IsTouching,MaxForce,Material,Rendering Method,TimeStamp
areum_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.584217|y:1.160885|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5866516|y:1.209854|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5880667|y:1.238319|z:1.353552)|Rot(x:358.4391|y:146.7619|z:357.6198),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5876924|y:1.237632|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5889812|y:1.263556|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5903169|y:1.290422|z:1.355446)|Rot(x:357.1539|y:89.99994|z:8.761986E-06),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.24416|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.271846|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.300111|z:1.328133)|Rot(x:357.1538|y:90.00005|z:-1.282242E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5883844|y:1.233758|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5896925|y:1.26007|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689773),Pos(x:-0.5909736|y:1.285838|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689875),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5846661|y:1.218064|z:1.280964)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5855771|y:1.236388|z:1.279752)|Rot(x:357.4341|y:94.13728|z:356.0245),Pos(x:-0.5865284|y:1.255522|z:1.278486)|Rot(x:357.4341|y:94.13724|z:356.0245),No,,,,2024-08-27 15:55:34
areum_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:329.9075|y:228.938|z:352.8893),Pos(x:-0.5691339|y:1.154728|z:1.372002)|Rot(x:336.1924|y:228.6618|z:2.621484),Pos(x:-0.5528081|y:1.199539|z:1.383377)|Rot(x:349.9202|y:231.9631|z:23.35562),Pos(x:-0.5422396|y:1.2253|z:1.3773)|Rot(x:349.9202|y:231.9632|z:23.3556),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.37|y:95.00526|z:359.7518),Pos(x:-0.5875254|y:1.23764|z:1.355432)|Rot(x:3.815024|y:94.97732|z:359.7515),Pos(x:-0.5858148|y:1.263538|z:1.35517)|Rot(x:9.615581|y:94.95186|z:359.7485),Pos(x:-0.5813485|y:1.29006|z:1.354664)|Rot(x:9.615621|y:94.9518|z:359.7485),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:3.508596|y:90|z:0),Pos(x:-0.5846171|y:1.244126|z:1.328133)|Rot(x:13.12699|y:90|z:0),Pos(x:-0.5783217|y:1.271122|z:1.328133)|Rot(x:21.78354|y:90|z:0),Pos(x:-0.5678196|y:1.297401|z:1.328133)|Rot(x:21.78349|y:90.00005|z:1.471084E-05),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:0.9344946|y:87.00613|z:0.1489107),Pos(x:-0.5853221|y:1.233809|z:1.304129)|Rot(x:6.530038|y:87.02074|z:0.1498699),Pos(x:-0.5823337|y:1.259982|z:1.304354)|Rot(x:11.27388|y:73.17791|z:357.3955),Pos(x:-0.5771714|y:1.285258|z:1.30469)|Rot(x:11.27387|y:73.17792|z:357.3955),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:0.941404|y:85.01022|z:356.4679),Pos(x:-0.5818551|y:1.218118|z:1.2812)|Rot(x:6.53691|y:85.03455|z:356.4695),Pos(x:-0.5796758|y:1.23635|z:1.280253)|Rot(x:11.79692|y:89.28056|z:357.3288),Pos(x:-0.5757439|y:1.255124|z:1.279408)|Rot(x:11.79696|y:89.28054|z:357.3288),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 15:55:35
areum_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:330.1534|y:228.7776|z:352.6654),Pos(x:-0.5694278|y:1.159777|z:1.372052)|Rot(x:336.4049|y:228.4737|z:2.359481),Pos(x:-0.5534095|y:1.20467|z:1.383541)|Rot(x:350.079|y:231.6807|z:23.01859),Pos(x:-0.5429538|y:1.230509|z:1.3776)|Rot(x:350.079|y:231.6807|z:23.01857),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.3187|y:95.00549|z:359.7518),Pos(x:-0.5875672|y:1.242612|z:1.355435)|Rot(x:3.814052|y:94.97734|z:359.7515),Pos(x:-0.5858569|y:1.26851|z:1.355173)|Rot(x:9.65992|y:94.95166|z:359.7485),Pos(x:-0.5813702|y:1.295029|z:1.354666)|Rot(x:9.659971|y:94.95159|z:359.7485),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:3.581877|y:90|z:0),Pos(x:-0.5845497|y:1.249097|z:1.328133)|Rot(x:13.32792|y:90|z:0),Pos(x:-0.5781597|y:1.27607|z:1.328133)|Rot(x:22.09937|y:90|z:0),Pos(x:-0.5675129|y:1.30229|z:1.328133)|Rot(x:22.09933|y:90.00006|z:1.658649E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:0.8945314|y:87.00601|z:0.1489126),Pos(x:-0.5853545|y:1.238784|z:1.304128)|Rot(x:6.432872|y:87.02047|z:0.1498359),Pos(x:-0.5824105|y:1.264962|z:1.30435)|Rot(x:11.12954|y:73.18456|z:357.4317),Pos(x:-0.5773137|y:1.290251|z:1.304682)|Rot(x:11.12954|y:73.18456|z:357.4317),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:0.9014374|y:85.01005|z:356.4679),Pos(x:-0.5818825|y:1.223093|z:1.281198)|Rot(x:6.439743|y:85.03413|z:356.4694),Pos(x:-0.579734|y:1.241329|z:1.280248)|Rot(x:11.64869|y:89.27761|z:357.3175),Pos(x:-0.5758505|y:1.260113|z:1.279398)|Rot(x:11.64874|y:89.27758|z:357.3175),No,,,,2024-08-27 15:55:36
areum_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:330.0175|y:228.8598|z:352.7602),Pos(x:-0.569283|y:1.159734|z:1.372042)|Rot(x:336.2462|y:228.5657|z:2.414818),Pos(x:-0.5531224|y:1.20457|z:1.383551)|Rot(x:349.8694|y:231.7667|z:22.98456),Pos(x:-0.5426101|y:1.230399|z:1.377666)|Rot(x:349.8694|y:231.7667|z:22.98454),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.4726|y:95.00481|z:359.7518),Pos(x:-0.587442|y:1.242618|z:1.355424)|Rot(x:3.917664|y:94.97689|z:359.7515),Pos(x:-0.585685|y:1.268513|z:1.355158)|Rot(x:9.718213|y:94.95142|z:359.7484),Pos(x:-0.5811715|y:1.295027|z:1.354649)|Rot(x:9.718261|y:94.95134|z:359.7484),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:3.694437|y:90|z:0),Pos(x:-0.5844462|y:1.24909|z:1.328133)|Rot(x:13.59461|y:90|z:0),Pos(x:-0.5779307|y:1.276033|z:1.328133)|Rot(x:22.50478|y:90|z:0),Pos(x:-0.5670986|y:1.302178|z:1.328133)|Rot(x:22.50474|y:90.00005|z:2.310374E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:0.9545817|y:87.00617|z:0.1489155),Pos(x:-0.5853058|y:1.238783|z:1.30413)|Rot(x:6.576034|y:87.02085|z:0.1498784),Pos(x:-0.5822965|y:1.264954|z:1.304356)|Rot(x:11.3412|y:73.17479|z:357.3786),Pos(x:-0.5771036|y:1.290223|z:1.304693)|Rot(x:11.3412|y:73.17478|z:357.3786),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:0.9614913|y:85.01031|z:356.4679),Pos(x:-0.5818414|y:1.223092|z:1.281201)|Rot(x:6.582917|y:85.03476|z:356.4695),Pos(x:-0.5796475|y:1.241323|z:1.280256)|Rot(x:11.86606|y:89.28195|z:357.3341),Pos(x:-0.5756929|y:1.260092|z:1.279412)|Rot(x:11.8661|y:89.28192|z:357.3341),No,,,,2024-08-27 15:55:37
areum_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:330.0107|y:228.8608|z:352.7512),Pos(x:-0.5692841|y:1.15973|z:1.37205)|Rot(x:336.2563|y:228.5664|z:2.431937),Pos(x:-0.5531198|y:1.20457|z:1.383542)|Rot(x:349.9138|y:231.7866|z:23.05669),Pos(x:-0.5426069|y:1.230388|z:1.377613)|Rot(x:349.9138|y:231.7866|z:23.05667),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.37|y:95.00526|z:359.7518),Pos(x:-0.5875254|y:1.242614|z:1.355432)|Rot(x:3.865377|y:94.9771|z:359.7515),Pos(x:-0.5857921|y:1.268511|z:1.355168)|Rot(x:9.711237|y:94.95143|z:359.7484),Pos(x:-0.5812817|y:1.295025|z:1.354658)|Rot(x:9.711286|y:94.95137|z:359.7484),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:3.693238|y:90|z:0),Pos(x:-0.5844473|y:1.24909|z:1.328133)|Rot(x:13.60995|y:90|z:0),Pos(x:-0.5779245|y:1.276031|z:1.328133)|Rot(x:22.53501|y:90|z:0),Pos(x:-0.5670786|y:1.302171|z:1.328133)|Rot(x:22.53496|y:90.00005|z:1.109222E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:0.9742362|y:87.00623|z:0.1489147),Pos(x:-0.5852898|y:1.238783|z:1.304131)|Rot(x:6.632314|y:87.02102|z:0.1499025),Pos(x:-0.5822549|y:1.264951|z:1.304358)|Rot(x:11.42786|y:73.17072|z:357.3569),Pos(x:-0.5770227|y:1.290212|z:1.304698)|Rot(x:11.42785|y:73.17072|z:357.3569),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:0.9811459|y:85.01038|z:356.4679),Pos(x:-0.5818279|y:1.223092|z:1.281203)|Rot(x:6.639192|y:85.03501|z:356.4695),Pos(x:-0.5796162|y:1.24132|z:1.280258)|Rot(x:11.95505|y:89.28374|z:357.3409),Pos(x:-0.5756325|y:1.260084|z:1.279417)|Rot(x:11.95509|y:89.28369|z:357.3409),No,,,,2024-08-27 15:55:38
areum_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:329.9699|y:228.8668|z:352.6973),Pos(x:-0.5692909|y:1.15971|z:1.372095)|Rot(x:336.1722|y:228.564|z:2.316178),Pos(x:-0.553142|y:1.204525|z:1.383707)|Rot(x:349.7463|y:231.7188|z:22.80331),Pos(x:-0.5426278|y:1.230378|z:1.377934)|Rot(x:349.7463|y:231.7189|z:22.80329),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.37|y:95.00526|z:359.7518),Pos(x:-0.5875254|y:1.242614|z:1.355432)|Rot(x:3.865377|y:94.9771|z:359.7515),Pos(x:-0.5857921|y:1.268511|z:1.355168)|Rot(x:9.711237|y:94.95143|z:359.7484),Pos(x:-0.5812817|y:1.295025|z:1.354658)|Rot(x:9.711286|y:94.95137|z:359.7484),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:3.582303|y:90|z:0),Pos(x:-0.5845493|y:1.249097|z:1.328133)|Rot(x:13.32237|y:90|z:0),Pos(x:-0.5781619|y:1.27607|z:1.328133)|Rot(x:22.08845|y:90|z:0),Pos(x:-0.5675201|y:1.302293|z:1.328133)|Rot(x:22.08841|y:90.00005|z:2.48778E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:0.8747125|y:87.00597|z:0.1489082),Pos(x:-0.5853706|y:1.238784|z:1.304127)|Rot(x:6.380376|y:87.02034|z:0.1498211),Pos(x:-0.5824505|y:1.264965|z:1.304348)|Rot(x:11.05|y:73.18818|z:357.4517),Pos(x:-0.5773898|y:1.290262|z:1.304679)|Rot(x:11.05|y:73.18819|z:357.4517),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:0.881628|y:85.00996|z:356.4679),Pos(x:-0.5818961|y:1.223093|z:1.281197)|Rot(x:6.387256|y:85.03391|z:356.4694),Pos(x:-0.5797642|y:1.241331|z:1.280246)|Rot(x:11.56701|y:89.27603|z:357.3113),Pos(x:-0.5759075|y:1.26012|z:1.279393)|Rot(x:11.56704|y:89.27599|z:357.3112),No,,,,2024-08-27 15:55:39
areum_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:329.8142|y:228.9516|z:352.7656),Pos(x:-0.5691496|y:1.159657|z:1.372106)|Rot(x:336.006|y:228.6561|z:2.365451),Pos(x:-0.5528573|y:1.204412|z:1.383746)|Rot(x:349.5555|y:231.8148|z:22.80442),Pos(x:-0.5422848|y:1.230249|z:1.378008)|Rot(x:349.5555|y:231.8148|z:22.80441),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.37|y:95.00526|z:359.7518),Pos(x:-0.5875254|y:1.242614|z:1.355432)|Rot(x:3.865377|y:94.9771|z:359.7515),Pos(x:-0.5857921|y:1.268511|z:1.355168)|Rot(x:9.711237|y:94.95143|z:359.7484),Pos(x:-0.5812817|y:1.295025|z:1.354658)|Rot(x:9.711286|y:94.95137|z:359.7484),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:3.60079|y:90|z:0),Pos(x:-0.5845323|y:1.249095|z:1.328133)|Rot(x:13.37029|y:90|z:0),Pos(x:-0.5781223|y:1.276064|z:1.328133)|Rot(x:22.16286|y:90|z:0),Pos(x:-0.5674465|y:1.302273|z:1.328133)|Rot(x:22.16282|y:90.00006|z:2.489094E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:0.8946185|y:87.00601|z:0.1489151),Pos(x:-0.5853544|y:1.238784|z:1.304128)|Rot(x:6.43075|y:87.02047|z:0.1498404),Pos(x:-0.5824114|y:1.264962|z:1.30435)|Rot(x:11.12555|y:73.18475|z:357.4327),Pos(x:-0.5773163|y:1.290252|z:1.304682)|Rot(x:11.12554|y:73.18475|z:357.4327),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:0.9015337|y:85.01005|z:356.4679),Pos(x:-0.5818824|y:1.223093|z:1.281198)|Rot(x:6.437631|y:85.03413|z:356.4695),Pos(x:-0.5797346|y:1.241329|z:1.280248)|Rot(x:11.64459|y:89.27756|z:357.3172),Pos(x:-0.5758525|y:1.260113|z:1.279398)|Rot(x:11.64463|y:89.27751|z:357.3172),No,,,,2024-08-27 15:55:40
areum_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:329.6193|y:229.042|z:352.7813),Pos(x:-0.5690153|y:1.159583|z:1.372161)|Rot(x:335.753|y:228.7453|z:2.293761),Pos(x:-0.552596|y:1.204252|z:1.383953)|Rot(x:349.1854|y:231.8382|z:22.53364),Pos(x:-0.5419639|y:1.230109|z:1.378417)|Rot(x:349.1854|y:231.8382|z:22.53363),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.37|y:95.00526|z:359.7518),Pos(x:-0.5875254|y:1.242614|z:1.355432)|Rot(x:3.815024|y:94.97732|z:359.7515),Pos(x:-0.5858148|y:1.268512|z:1.35517)|Rot(x:9.615581|y:94.95186|z:359.7485),Pos(x:-0.5813485|y:1.295034|z:1.354664)|Rot(x:9.615621|y:94.9518|z:359.7485),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:3.712021|y:90|z:0),Pos(x:-0.58443|y:1.249089|z:1.328133)|Rot(x:13.65395|y:90|z:0),Pos(x:-0.5778866|y:1.276025|z:1.328133)|Rot(x:22.6017|y:90|z:0),Pos(x:-0.5670103|y:1.302152|z:1.328133)|Rot(x:22.60165|y:90.00005|z:1.572158E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:0.8946739|y:87.00601|z:0.1489113),Pos(x:-0.5853544|y:1.238784|z:1.304128)|Rot(x:6.429289|y:87.02047|z:0.1498394),Pos(x:-0.582412|y:1.264962|z:1.30435)|Rot(x:11.1228|y:73.18487|z:357.4334),Pos(x:-0.5773183|y:1.290252|z:1.304682)|Rot(x:11.12279|y:73.18488|z:357.4334),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:0.9015893|y:85.01004|z:356.4679),Pos(x:-0.5818824|y:1.223093|z:1.281198)|Rot(x:6.436162|y:85.03411|z:356.4694),Pos(x:-0.579735|y:1.241329|z:1.280248)|Rot(x:11.64177|y:89.27749|z:357.317),Pos(x:-0.5758538|y:1.260113|z:1.279398)|Rot(x:11.64181|y:89.27744|z:357.3169),No,,,,2024-08-27 15:55:41
areum_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:329.3516|y:229.2046|z:352.9758),Pos(x:-0.5687261|y:1.159496|z:1.372133)|Rot(x:335.4952|y:228.9305|z:2.492827),Pos(x:-0.5520078|y:1.204067|z:1.383873)|Rot(x:348.9371|y:232.0812|z:22.73349),Pos(x:-0.5412604|y:1.229865|z:1.378284)|Rot(x:348.9371|y:232.0813|z:22.73347),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.4726|y:95.00481|z:359.7518),Pos(x:-0.587442|y:1.242618|z:1.355424)|Rot(x:3.917664|y:94.97689|z:359.7515),Pos(x:-0.585685|y:1.268513|z:1.355158)|Rot(x:9.718213|y:94.95142|z:359.7484),Pos(x:-0.5811715|y:1.295027|z:1.354649)|Rot(x:9.718261|y:94.95134|z:359.7484),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:3.768399|y:90|z:0),Pos(x:-0.5843782|y:1.249086|z:1.328133)|Rot(x:13.78609|y:90|z:0),Pos(x:-0.5777727|y:1.276007|z:1.328133)|Rot(x:22.80203|y:90|z:0),Pos(x:-0.566805|y:1.302095|z:1.328133)|Rot(x:22.80198|y:90.00005|z:2.500612E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:0.9545817|y:87.00617|z:0.1489155),Pos(x:-0.5853058|y:1.238783|z:1.30413)|Rot(x:6.576034|y:87.02085|z:0.1498784),Pos(x:-0.5822965|y:1.264954|z:1.304356)|Rot(x:11.3412|y:73.17479|z:357.3786),Pos(x:-0.5771036|y:1.290223|z:1.304693)|Rot(x:11.3412|y:73.17478|z:357.3786),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:0.9614913|y:85.01031|z:356.4679),Pos(x:-0.5818414|y:1.223092|z:1.281201)|Rot(x:6.582917|y:85.03476|z:356.4695),Pos(x:-0.5796475|y:1.241323|z:1.280256)|Rot(x:11.86606|y:89.28195|z:357.3341),Pos(x:-0.5756929|y:1.260092|z:1.279412)|Rot(x:11.8661|y:89.28192|z:357.3341),No,,,,2024-08-27 15:55:42
areum_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:329.7361|y:228.9632|z:352.6617),Pos(x:-0.5691628|y:1.159618|z:1.372194)|Rot(x:335.8326|y:228.6512|z:2.124695),Pos(x:-0.5529034|y:1.20432|z:1.384081)|Rot(x:349.1971|y:231.6713|z:22.2616),Pos(x:-0.5423294|y:1.230228|z:1.378677)|Rot(x:349.1971|y:231.6714|z:22.26159),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.37|y:95.00526|z:359.7518),Pos(x:-0.5875254|y:1.242614|z:1.355432)|Rot(x:3.764667|y:94.97755|z:359.7515),Pos(x:-0.5858374|y:1.268514|z:1.355172)|Rot(x:9.519904|y:94.95229|z:359.7486),Pos(x:-0.5814152|y:1.295043|z:1.35467)|Rot(x:9.519948|y:94.95222|z:359.7486),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:3.730819|y:90|z:0),Pos(x:-0.5844128|y:1.249088|z:1.328133)|Rot(x:13.69792|y:90|z:0),Pos(x:-0.5778487|y:1.276019|z:1.328133)|Rot(x:22.66831|y:90|z:0),Pos(x:-0.5669419|y:1.302133|z:1.328133)|Rot(x:22.66827|y:90.00005|z:1.665445E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:0.9544585|y:87.00617|z:0.1489162),Pos(x:-0.5853059|y:1.238783|z:1.30413)|Rot(x:6.578916|y:87.02087|z:0.1498844),Pos(x:-0.5822952|y:1.264954|z:1.304356)|Rot(x:11.34661|y:73.17453|z:357.3773),Pos(x:-0.5770999|y:1.290223|z:1.304694)|Rot(x:11.34661|y:73.17453|z:357.3773),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:0.9613707|y:85.01031|z:356.4679),Pos(x:-0.5818415|y:1.223092|z:1.281201)|Rot(x:6.585795|y:85.03477|z:356.4695),Pos(x:-0.5796466|y:1.241323|z:1.280256)|Rot(x:11.87161|y:89.28207|z:357.3345),Pos(x:-0.5756903|y:1.260092|z:1.279412)|Rot(x:11.87165|y:89.28203|z:357.3345),No,,,,2024-08-27 15:55:43
areum_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:329.8655|y:228.8824|z:352.5591),Pos(x:-0.5693083|y:1.159659|z:1.372211)|Rot(x:335.9653|y:228.5589|z:2.032451),Pos(x:-0.553197|y:1.20441|z:1.384116)|Rot(x:349.3419|y:231.5594|z:22.19563),Pos(x:-0.5426809|y:1.230343|z:1.378718)|Rot(x:349.3419|y:231.5594|z:22.1956),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.3187|y:95.00549|z:359.7518),Pos(x:-0.5875672|y:1.242612|z:1.355435)|Rot(x:3.814052|y:94.97734|z:359.7515),Pos(x:-0.5858569|y:1.26851|z:1.355173)|Rot(x:9.65992|y:94.95166|z:359.7485),Pos(x:-0.5813702|y:1.295029|z:1.354666)|Rot(x:9.659971|y:94.95159|z:359.7485),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:3.692785|y:90|z:0),Pos(x:-0.5844477|y:1.24909|z:1.328133)|Rot(x:13.61567|y:90|z:0),Pos(x:-0.5779223|y:1.276031|z:1.328133)|Rot(x:22.54626|y:90|z:0),Pos(x:-0.5670713|y:1.302168|z:1.328133)|Rot(x:22.54621|y:90.00005|z:2.588396E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:0.9343402|y:87.00613|z:0.1489148),Pos(x:-0.5853222|y:1.238783|z:1.304129)|Rot(x:6.533689|y:87.02075|z:0.1498702),Pos(x:-0.5823322|y:1.264956|z:1.304354)|Rot(x:11.28074|y:73.1776|z:357.3938),Pos(x:-0.5771668|y:1.290232|z:1.30469)|Rot(x:11.28075|y:73.1776|z:357.3938),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:0.9412538|y:85.01021|z:356.4679),Pos(x:-0.5818552|y:1.223093|z:1.2812)|Rot(x:6.540567|y:85.03457|z:356.4695),Pos(x:-0.5796748|y:1.241325|z:1.280253)|Rot(x:11.80398|y:89.2807|z:357.3293),Pos(x:-0.5757405|y:1.260098|z:1.279408)|Rot(x:11.80402|y:89.28068|z:357.3293),No,,,,2024-08-27 15:55:44
areum_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:329.0121|y:229.3768|z:353.0733),Pos(x:-0.56845|y:1.159371|z:1.372184)|Rot(x:335.1255|y:229.112|z:2.540632),Pos(x:-0.5514514|y:1.203809|z:1.384028)|Rot(x:348.5018|y:232.2509|z:22.65705),Pos(x:-0.5405849|y:1.229582|z:1.378556)|Rot(x:348.5018|y:232.2509|z:22.65703),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.37|y:95.00526|z:359.7518),Pos(x:-0.5875254|y:1.242614|z:1.355432)|Rot(x:3.815024|y:94.97732|z:359.7515),Pos(x:-0.5858148|y:1.268512|z:1.35517)|Rot(x:9.615581|y:94.95186|z:359.7485),Pos(x:-0.5813485|y:1.295034|z:1.354664)|Rot(x:9.615621|y:94.9518|z:359.7485),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:3.619587|y:90|z:0),Pos(x:-0.584515|y:1.249094|z:1.328133)|Rot(x:13.41438|y:90|z:0),Pos(x:-0.5780843|y:1.276058|z:1.328133)|Rot(x:22.2297|y:90|z:0),Pos(x:-0.5673779|y:1.302254|z:1.328133)|Rot(x:22.22966|y:90.00005|z:1.844651E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:0.9743034|y:87.00623|z:0.1489129),Pos(x:-0.5852898|y:1.238783|z:1.304131)|Rot(x:6.630805|y:87.02099|z:0.1498991),Pos(x:-0.5822555|y:1.264951|z:1.304358)|Rot(x:11.42501|y:73.17085|z:357.3576),Pos(x:-0.5770246|y:1.290213|z:1.304698)|Rot(x:11.425|y:73.17085|z:357.3576),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:0.981213|y:85.01038|z:356.4679),Pos(x:-0.5818279|y:1.223092|z:1.281203)|Rot(x:6.637684|y:85.035|z:356.4695),Pos(x:-0.5796166|y:1.24132|z:1.280258)|Rot(x:11.95212|y:89.28368|z:357.3407),Pos(x:-0.5756339|y:1.260084|z:1.279417)|Rot(x:11.95215|y:89.28363|z:357.3406),No,,,,2024-08-27 15:55:45
