Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip,IsTouching,MaxForce,Material,Rendering Method,TimeStamp
eunchae_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.584217|y:1.160885|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5866516|y:1.209854|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5880667|y:1.238319|z:1.353552)|Rot(x:358.4391|y:146.7619|z:357.6198),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5876924|y:1.237632|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5889812|y:1.263556|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5903169|y:1.290422|z:1.355446)|Rot(x:357.1539|y:89.99994|z:8.761986E-06),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.24416|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.271846|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.300111|z:1.328133)|Rot(x:357.1538|y:90.00005|z:-1.282242E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5883844|y:1.233758|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5896925|y:1.26007|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689773),Pos(x:-0.5909736|y:1.285838|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689875),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5846661|y:1.218064|z:1.280964)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5855771|y:1.236388|z:1.279752)|Rot(x:357.4341|y:94.13728|z:356.0245),Pos(x:-0.5865284|y:1.255522|z:1.278486)|Rot(x:357.4341|y:94.13724|z:356.0245),No,,,,2024-08-27 17:13:08
eunchae_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:328.2026|y:229.7995|z:24.24274),Pos(x:-0.5542849|y:1.151057|z:1.353399)|Rot(x:342.1617|y:240.5655|z:46.03523),Pos(x:-0.5278614|y:1.183458|z:1.327788)|Rot(x:353.6388|y:275.9382|z:98.40371),Pos(x:-0.5312372|y:1.179319|z:1.299793)|Rot(x:353.6388|y:275.9382|z:98.40369),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:30.13186|y:94.84995|z:359.7133),Pos(x:-0.5619633|y:1.231361|z:1.353225)|Rot(x:77.22624|y:93.9|z:358.8784),Pos(x:-0.5367477|y:1.237099|z:1.350997)|Rot(x:60.38366|y:275.4301|z:180.5018),Pos(x:-0.5134456|y:1.223806|z:1.349019)|Rot(x:60.38361|y:275.4302|z:180.5018),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:30.37925|y:90|z:0),Pos(x:-0.561144|y:1.236975|z:1.328133)|Rot(x:77.84412|y:90|z:0),Pos(x:-0.5340459|y:1.242812|z:1.328133)|Rot(x:59.43756|y:270|z:180),Pos(x:-0.5096775|y:1.228422|z:1.328133)|Rot(x:59.4376|y:269.9999|z:179.9999),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:30.05762|y:87.08987|z:0.172029),Pos(x:-0.5628023|y:1.227557|z:1.305292)|Rot(x:77.05688|y:87.6516|z:0.6647795),Pos(x:-0.5371631|y:1.233457|z:1.306649)|Rot(x:57.97356|y:293.0267|z:202.4107),Pos(x:-0.5147055|y:1.220809|z:1.307792)|Rot(x:57.97356|y:293.0267|z:202.4107),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:30.06433|y:85.14968|z:356.5064),Pos(x:-0.5628482|y:1.212827|z:1.282838)|Rot(x:77.06232|y:86.08561|z:357.3275),Pos(x:-0.5449314|y:1.216939|z:1.283205)|Rot(x:60.06419|y:256.2665|z:168.4988),Pos(x:-0.5281844|y:1.20755|z:1.283357)|Rot(x:60.06418|y:256.2665|z:168.4988),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 17:13:10
eunchae_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:328.1345|y:229.7635|z:24.14796),Pos(x:-0.5542848|y:1.156032|z:1.353503)|Rot(x:342.0636|y:240.459|z:45.85301),Pos(x:-0.5277889|y:1.188522|z:1.32808)|Rot(x:353.6814|y:275.6408|z:97.98138),Pos(x:-0.5309964|y:1.184589|z:1.300035)|Rot(x:353.6813|y:275.6408|z:97.98135),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:29.97182|y:94.85086|z:359.7138),Pos(x:-0.5620761|y:1.236401|z:1.353235)|Rot(x:76.83765|y:93.93342|z:358.9109),Pos(x:-0.5368999|y:1.24231|z:1.351009)|Rot(x:60.97807|y:275.4408|z:180.5111),Pos(x:-0.5134618|y:1.22926|z:1.349018)|Rot(x:60.978|y:275.4409|z:180.5112),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:30.37925|y:90|z:0),Pos(x:-0.561144|y:1.241949|z:1.328133)|Rot(x:77.84412|y:90|z:0),Pos(x:-0.5340459|y:1.247786|z:1.328133)|Rot(x:59.43756|y:270|z:180),Pos(x:-0.5096775|y:1.233397|z:1.328133)|Rot(x:59.4376|y:269.9999|z:179.9999),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:30.05762|y:87.08987|z:0.172029),Pos(x:-0.5628023|y:1.232531|z:1.305292)|Rot(x:77.05688|y:87.6516|z:0.6647795),Pos(x:-0.5371631|y:1.238432|z:1.306649)|Rot(x:57.97356|y:293.0267|z:202.4107),Pos(x:-0.5147055|y:1.225783|z:1.307792)|Rot(x:57.97356|y:293.0267|z:202.4107),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:30.06433|y:85.14968|z:356.5064),Pos(x:-0.5628482|y:1.217801|z:1.282838)|Rot(x:77.06232|y:86.08561|z:357.3275),Pos(x:-0.5449314|y:1.221913|z:1.283205)|Rot(x:60.06419|y:256.2665|z:168.4988),Pos(x:-0.5281844|y:1.212524|z:1.283357)|Rot(x:60.06418|y:256.2665|z:168.4988),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 17:13:11
eunchae_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:327.7881|y:229.5795|z:24.38707),Pos(x:-0.5540507|y:1.15584|z:1.353572)|Rot(x:341.655|y:240.3244|z:45.93816),Pos(x:-0.5272833|y:1.188204|z:1.328274)|Rot(x:353.3149|y:275.448|z:97.66396),Pos(x:-0.5304055|y:1.184429|z:1.300198)|Rot(x:353.3148|y:275.448|z:97.66395),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:13.61823|y:94.93378|z:359.7449),Pos(x:-0.5743999|y:1.241347|z:1.35429)|Rot(x:62.18356|y:94.5239|z:359.4686),Pos(x:-0.5515347|y:1.253458|z:1.35224)|Rot(x:74.10397|y:275.8646|z:180.9053),Pos(x:-0.5257586|y:1.246092|z:1.350019)|Rot(x:74.10392|y:275.8648|z:180.9055),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:12.24893|y:90|z:0),Pos(x:-0.5766456|y:1.247998|z:1.328133)|Rot(x:46.01374|y:90|z:0),Pos(x:-0.5567012|y:1.267249|z:1.328133)|Rot(x:76.40208|y:90|z:0),Pos(x:-0.5291944|y:1.273902|z:1.328133)|Rot(x:76.40202|y:90.00022|z:0.0002106215),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:8.543898|y:87.02605|z:0.1505632),Pos(x:-0.5791756|y:1.238273|z:1.30445)|Rot(x:31.87206|y:87.09628|z:0.1753255),Pos(x:-0.5652872|y:1.260645|z:1.305235)|Rot(x:50.8549|y:65.35879|z:342.9859),Pos(x:-0.5447485|y:1.276219|z:1.306351)|Rot(x:50.85491|y:65.3588|z:342.9859),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:8.550754|y:85.04343|z:356.4706),Pos(x:-0.5766675|y:1.22266|z:1.281652)|Rot(x:31.87877|y:85.16035|z:356.5119),Pos(x:-0.5669156|y:1.238244|z:1.281355)|Rot(x:52.91938|y:92.20221|z:2.111089),Pos(x:-0.5515925|y:1.249813|z:1.281473)|Rot(x:52.91941|y:92.20215|z:2.111035),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 17:13:12
eunchae_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:339.2583|y:221.2594|z:339.7116),Pos(x:-0.5838631|y:1.160519|z:1.374559)|Rot(x:342.6178|y:220.1443|z:345.4457),Pos(x:-0.5841413|y:1.205809|z:1.39334)|Rot(x:350.444|y:218.9615|z:357.819),Pos(x:-0.5820118|y:1.233893|z:1.397698)|Rot(x:350.444|y:218.9616|z:357.8189),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.1647|y:95.00613|z:359.7517),Pos(x:-0.5876924|y:1.242606|z:1.355446)|Rot(x:357.1647|y:95.00613|z:359.7517),Pos(x:-0.5889812|y:1.26853|z:1.355446)|Rot(x:357.1647|y:95.00613|z:359.7517),Pos(x:-0.5903169|y:1.295397|z:1.355446)|Rot(x:357.1647|y:95.00608|z:359.7517),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.249135|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.27682|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.305085|z:1.328133)|Rot(x:357.1538|y:90.00006|z:-3.739872E-06),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:357.2222|y:86.99647|z:0.1490694),Pos(x:-0.5883322|y:1.238735|z:1.303972)|Rot(x:357.3142|y:86.9967|z:0.14906),Pos(x:-0.5895686|y:1.26505|z:1.303975)|Rot(x:357.5049|y:73.40007|z:0.7566116),Pos(x:-0.5907422|y:1.290823|z:1.303981)|Rot(x:357.5049|y:73.40009|z:0.7566236),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:357.2291|y:84.99416|z:356.4681),Pos(x:-0.5843956|y:1.223052|z:1.280978)|Rot(x:357.3211|y:84.99454|z:356.4681),Pos(x:-0.5851513|y:1.241383|z:1.279775)|Rot(x:357.6656|y:89.13261|z:356.2901),Pos(x:-0.5859128|y:1.260527|z:1.278521)|Rot(x:357.6657|y:89.13255|z:356.2901),No,,,,2024-08-27 17:13:13
eunchae_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:339.134|y:221.386|z:339.9456),Pos(x:-0.5836206|y:1.160545|z:1.374531)|Rot(x:342.5081|y:220.2817|z:345.6945),Pos(x:-0.5836301|y:1.205858|z:1.393257)|Rot(x:350.3633|y:219.1321|z:358.0988),Pos(x:-0.5813542|y:1.233941|z:1.397553)|Rot(x:350.3633|y:219.1322|z:358.0988),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.3232|y:95.00546|z:359.7518),Pos(x:-0.5875635|y:1.242612|z:1.355435)|Rot(x:357.3232|y:95.00546|z:359.7518),Pos(x:-0.5887808|y:1.26854|z:1.355429)|Rot(x:357.3232|y:95.00546|z:359.7518),Pos(x:-0.5900424|y:1.29541|z:1.355422)|Rot(x:357.3233|y:95.00539|z:359.7518),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.249135|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.27682|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.305085|z:1.328133)|Rot(x:357.1538|y:90.00006|z:-3.739872E-06),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:357.1577|y:86.9963|z:0.1490755),Pos(x:-0.5883844|y:1.238732|z:1.303969)|Rot(x:357.1577|y:86.9963|z:0.1490755),Pos(x:-0.5896925|y:1.265044|z:1.303969)|Rot(x:357.2723|y:73.3969|z:0.8129447),Pos(x:-0.5909736|y:1.290812|z:1.303969)|Rot(x:357.2723|y:73.3969|z:0.8129502),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:357.1647|y:84.99387|z:356.4682),Pos(x:-0.5844397|y:1.22305|z:1.280974)|Rot(x:357.1647|y:84.99387|z:356.4682),Pos(x:-0.5852451|y:1.241379|z:1.279767)|Rot(x:357.427|y:89.13229|z:356.2729),Pos(x:-0.5860863|y:1.260519|z:1.278506)|Rot(x:357.4271|y:89.13226|z:356.2728),No,,,,2024-08-27 17:13:14
eunchae_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:329.0385|y:228.6877|z:349.8209),Pos(x:-0.5704584|y:1.159064|z:1.37406)|Rot(x:332.9271|y:228.1373|z:356.0646),Pos(x:-0.5561243|y:1.202619|z:1.391423)|Rot(x:341.7169|y:228.5881|z:9.358833),Pos(x:-0.5464426|y:1.22932|z:1.393782)|Rot(x:341.7169|y:228.5881|z:9.358817),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.2436|y:95.0058|z:359.7518),Pos(x:-0.5876282|y:1.242609|z:1.355441)|Rot(x:357.2436|y:95.0058|z:359.7518),Pos(x:-0.5888815|y:1.268535|z:1.355438)|Rot(x:357.2436|y:95.0058|z:359.7518),Pos(x:-0.5901803|y:1.295403|z:1.355434)|Rot(x:357.2437|y:95.00574|z:359.7518),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.249135|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.27682|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.305085|z:1.328133)|Rot(x:357.1538|y:90.00006|z:-3.739872E-06),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:357.1577|y:86.9963|z:0.1490755),Pos(x:-0.5883844|y:1.238732|z:1.303969)|Rot(x:357.1577|y:86.9963|z:0.1490755),Pos(x:-0.5896925|y:1.265044|z:1.303969)|Rot(x:357.2723|y:73.3969|z:0.8129447),Pos(x:-0.5909736|y:1.290812|z:1.303969)|Rot(x:357.2723|y:73.3969|z:0.8129502),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:357.1647|y:84.99387|z:356.4682),Pos(x:-0.5844397|y:1.22305|z:1.280974)|Rot(x:357.1647|y:84.99387|z:356.4682),Pos(x:-0.5852451|y:1.241379|z:1.279767)|Rot(x:357.427|y:89.13229|z:356.2729),Pos(x:-0.5860863|y:1.260519|z:1.278506)|Rot(x:357.4271|y:89.13226|z:356.2728),No,,,,2024-08-27 17:13:15
eunchae_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:336.7076|y:222.323|z:337.1271),Pos(x:-0.5838841|y:1.159163|z:1.376873)|Rot(x:338.1984|y:221.6862|z:339.8141),Pos(x:-0.5851526|y:1.20189|z:1.400888)|Rot(x:341.6412|y:220.5488|z:345.7025),Pos(x:-0.5848457|y:1.228102|z:1.412073)|Rot(x:341.6412|y:220.5488|z:345.7025),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.204|y:95.00597|z:359.7517),Pos(x:-0.5876604|y:1.242608|z:1.355444)|Rot(x:357.2552|y:95.00574|z:359.7518),Pos(x:-0.5889084|y:1.268534|z:1.35544)|Rot(x:357.3013|y:95.00555|z:359.7518),Pos(x:-0.5901803|y:1.295403|z:1.355434)|Rot(x:357.3013|y:95.00549|z:359.7518),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:357.5214|y:90|z:0),Pos(x:-0.5901323|y:1.24915|z:1.328133)|Rot(x:358.0465|y:90|z:0),Pos(x:-0.5910772|y:1.276854|z:1.328133)|Rot(x:358.5191|y:90|z:0),Pos(x:-0.5918086|y:1.305144|z:1.328133)|Rot(x:358.5191|y:90.00005|z:-6.405441E-07),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:358.0634|y:86.99866|z:0.1489756),Pos(x:-0.5876506|y:1.238763|z:1.304007)|Rot(x:359.357|y:87.00203|z:0.148899),Pos(x:-0.5879494|y:1.265105|z:1.30406)|Rot(x:0.541734|y:73.42072|z:0.02227803),Pos(x:-0.5877184|y:1.290904|z:1.30414)|Rot(x:0.5417334|y:73.42072|z:0.02229036),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:358.0703|y:84.99779|z:356.468),Pos(x:-0.5838203|y:1.223076|z:1.281029)|Rot(x:359.364|y:85.0034|z:356.4679),Pos(x:-0.5839246|y:1.241426|z:1.279882)|Rot(x:0.7818652|y:89.14308|z:356.5152),Pos(x:-0.5836457|y:1.260589|z:1.278719)|Rot(x:0.781902|y:89.14302|z:356.5152),No,,,,2024-08-27 17:13:16
eunchae_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:337.3919|y:222.0802|z:338.1562),Pos(x:-0.5836625|y:1.159628|z:1.376131)|Rot(x:339.5248|y:221.2474|z:341.9213),Pos(x:-0.5843528|y:1.203293|z:1.398421)|Rot(x:344.4763|y:219.9513|z:350.1098),Pos(x:-0.5832802|y:1.230346|z:1.407325)|Rot(x:344.4763|y:219.9513|z:350.1098),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.282|y:95.00563|z:359.7518),Pos(x:-0.587597|y:1.242611|z:1.355438)|Rot(x:359.327|y:94.99678|z:359.752),Pos(x:-0.5879105|y:1.268565|z:1.355353)|Rot(x:1.167457|y:94.98881|z:359.752),Pos(x:-0.5873746|y:1.295459|z:1.355189)|Rot(x:1.167491|y:94.98875|z:359.752),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:358.5601|y:90|z:0),Pos(x:-0.5891756|y:1.249183|z:1.328133)|Rot(x:0.5779306|y:90|z:0),Pos(x:-0.588896|y:1.276901|z:1.328133)|Rot(x:2.393948|y:90|z:0),Pos(x:-0.5877139|y:1.305176|z:1.328133)|Rot(x:2.393912|y:90.00005|z:-1.495409E-06),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:358.7622|y:87.00049|z:0.1489306),Pos(x:-0.5870839|y:1.238778|z:1.304037)|Rot(x:1.065735|y:87.00647|z:0.1489185),Pos(x:-0.5865982|y:1.265118|z:1.304131)|Rot(x:3.086054|y:73.40804|z:359.407),Pos(x:-0.5851909|y:1.290879|z:1.304272)|Rot(x:3.086051|y:73.40804|z:359.407),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:358.7691|y:85.00081|z:356.4679),Pos(x:-0.5833421|y:1.223089|z:1.28107)|Rot(x:1.072639|y:85.01078|z:356.4679),Pos(x:-0.5829014|y:1.241437|z:1.279972)|Rot(x:3.392566|y:89.1613|z:356.7045),Pos(x:-0.581751|y:1.260572|z:1.278885)|Rot(x:3.392599|y:89.16126|z:356.7045),No,,,,2024-08-27 17:13:17
eunchae_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:322.3|y:228.455|z:8.417316),Pos(x:-0.5578924|y:1.156371|z:1.366359)|Rot(x:330.804|y:231.0714|z:20.40726),Pos(x:-0.529712|y:1.196486|z:1.367144)|Rot(x:346.0208|y:241.4113|z:44.45915),Pos(x:-0.5158452|y:1.216226|z:1.351968)|Rot(x:346.0207|y:241.4113|z:44.45914),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:358.025|y:95.00242|z:359.7519),Pos(x:-0.5869925|y:1.242635|z:1.355385)|Rot(x:6.358273|y:94.96624|z:359.7505),Pos(x:-0.5841386|y:1.268432|z:1.355024)|Rot(x:13.8582|y:94.9327|z:359.7446),Pos(x:-0.5777298|y:1.294548|z:1.35435)|Rot(x:13.85824|y:94.93262|z:359.7446),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:2.436425|y:90|z:0),Pos(x:-0.5856039|y:1.249152|z:1.328133)|Rot(x:10.42327|y:90|z:0),Pos(x:-0.5805889|y:1.276414|z:1.328133)|Rot(x:17.61143|y:90|z:0),Pos(x:-0.5720265|y:1.303388|z:1.328133)|Rot(x:17.61139|y:90.00005|z:1.791514E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:1.292937|y:87.00705|z:0.1489368),Pos(x:-0.5850314|y:1.238778|z:1.304145)|Rot(x:7.475864|y:87.02324|z:0.1501718),Pos(x:-0.581612|y:1.264898|z:1.304392)|Rot(x:12.70542|y:73.10673|z:357.0344),Pos(x:-0.5758018|y:1.290032|z:1.304761)|Rot(x:12.70541|y:73.10673|z:357.0344),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:1.299841|y:85.01176|z:356.4679),Pos(x:-0.5816098|y:1.223088|z:1.281222)|Rot(x:7.482728|y:85.0387|z:356.47),Pos(x:-0.579131|y:1.241283|z:1.280301)|Rot(x:13.26725|y:89.31147|z:357.4418),Pos(x:-0.5747191|y:1.259952|z:1.279497)|Rot(x:13.26728|y:89.31142|z:357.4418),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 17:13:18
eunchae_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:309.7863|y:214.9144|z:27.71512),Pos(x:-0.5481932|y:1.146878|z:1.366359)|Rot(x:317.2437|y:221.664|z:36.24345),Pos(x:-0.5086921|y:1.175913|z:1.367144)|Rot(x:329.9559|y:237.5598|z:54.61188),Pos(x:-0.4892548|y:1.1902|z:1.351968)|Rot(x:329.9559|y:237.5598|z:54.61187),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:29.97182|y:94.85086|z:359.7138),Pos(x:-0.5620761|y:1.236401|z:1.353235)|Rot(x:76.83765|y:93.93342|z:358.9109),Pos(x:-0.5368999|y:1.24231|z:1.351009)|Rot(x:60.97807|y:275.4408|z:180.5111),Pos(x:-0.5134618|y:1.22926|z:1.349018)|Rot(x:60.978|y:275.4409|z:180.5112),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:30.35186|y:90|z:0),Pos(x:-0.5611658|y:1.241962|z:1.328133)|Rot(x:77.77758|y:90|z:0),Pos(x:-0.5340745|y:1.247831|z:1.328133)|Rot(x:59.53929|y:270|z:180),Pos(x:-0.5096805|y:1.233484|z:1.328133)|Rot(x:59.53933|y:269.9999|z:179.9999),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:25.98485|y:87.07627|z:0.1656423),Pos(x:-0.5657181|y:1.234085|z:1.305143)|Rot(x:67.1662|y:87.35735|z:0.3837152),Pos(x:-0.5414727|y:1.244308|z:1.306439)|Rot(x:70.5288|y:311.2106|z:222.4852),Pos(x:-0.5164977|y:1.237966|z:1.30773)|Rot(x:70.5288|y:311.2106|z:222.4852),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:25.9916|y:85.12704|z:356.4958),Pos(x:-0.5653092|y:1.219116|z:1.282629)|Rot(x:67.1723|y:85.59524|z:356.8591),Pos(x:-0.5483611|y:1.226238|z:1.282924)|Rot(x:74.85384|y:248.0382|z:159.737),Pos(x:-0.5297499|y:1.221532|z:1.283259)|Rot(x:74.85378|y:248.0384|z:159.7371),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 17:13:19
eunchae_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:324.5918|y:230.6245|z:348.9802),Pos(x:-0.5680572|y:1.157132|z:1.375884)|Rot(x:327.3348|y:230.1144|z:353.4974),Pos(x:-0.5514427|y:1.198142|z:1.397005)|Rot(x:333.571|y:229.9035|z:3.1303),Pos(x:-0.5407513|y:1.223625|z:1.403972)|Rot(x:333.571|y:229.9035|z:3.130273),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:358.2596|y:95.0014|z:359.7519),Pos(x:-0.5868016|y:1.242642|z:1.355368)|Rot(x:11.96096|y:94.94132|z:359.7465),Pos(x:-0.5814523|y:1.268034|z:1.354791)|Rot(x:24.29211|y:94.88194|z:359.728),Pos(x:-0.570437|y:1.292552|z:1.353722)|Rot(x:24.29215|y:94.88187|z:359.7279),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:5.47268|y:90|z:0),Pos(x:-0.5828126|y:1.248959|z:1.328133)|Rot(x:19.14522|y:90|z:0),Pos(x:-0.5737216|y:1.275146|z:1.328133)|Rot(x:31.45051|y:90|z:0),Pos(x:-0.5589557|y:1.299288|z:1.328133)|Rot(x:31.45046|y:90.00005|z:3.002398E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:4.259121|y:87.01479|z:0.149304),Pos(x:-0.5826286|y:1.238661|z:1.30427)|Rot(x:15.73247|y:87.04565|z:0.1546969),Pos(x:-0.5754986|y:1.264018|z:1.304709)|Rot(x:25.31602|y:72.01726|z:353.6074),Pos(x:-0.5641836|y:1.287195|z:1.305362)|Rot(x:25.31601|y:72.01727|z:353.6074),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:4.26601|y:85.02464|z:356.4685),Pos(x:-0.5795819|y:1.222989|z:1.281399)|Rot(x:15.73928|y:85.07602|z:356.4775),Pos(x:-0.5745252|y:1.240652|z:1.2807)|Rot(x:26.24511|y:89.73799|z:358.5292),Pos(x:-0.5660354|y:1.257867|z:1.280246)|Rot(x:26.24514|y:89.73795|z:358.5292),No,,,,2024-08-27 17:13:20
