Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip,IsTouching,MaxForce,Material,Rendering Method,TimeStamp
eunchae_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.584217|y:1.160885|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5866516|y:1.209854|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5880667|y:1.238319|z:1.353552)|Rot(x:358.4391|y:146.7619|z:357.6198),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5876924|y:1.237632|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5889812|y:1.263556|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5903169|y:1.290422|z:1.355446)|Rot(x:357.1539|y:89.99994|z:8.761986E-06),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.24416|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.271846|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.300111|z:1.328133)|Rot(x:357.1538|y:90.00005|z:-1.282242E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5883844|y:1.233758|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5896925|y:1.26007|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689773),Pos(x:-0.5909736|y:1.285838|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689875),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5846661|y:1.218064|z:1.280964)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5855771|y:1.236388|z:1.279752)|Rot(x:357.4341|y:94.13728|z:356.0245),Pos(x:-0.5865284|y:1.255522|z:1.278486)|Rot(x:357.4341|y:94.13724|z:356.0245),No,,,,2024-08-27 16:56:26
eunchae_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:318.0195|y:225.2366|z:13.00362),Pos(x:-0.5547594|y:1.148833|z:1.366689)|Rot(x:326.1405|y:228.6759|z:23.98318),Pos(x:-0.5228559|y:1.186033|z:1.368204)|Rot(x:340.5027|y:239.8603|z:45.99219),Pos(x:-0.5068482|y:1.204698|z:1.353795)|Rot(x:340.5027|y:239.8603|z:45.99218),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.1647|y:95.00613|z:359.7517),Pos(x:-0.5876924|y:1.237632|z:1.355446)|Rot(x:357.1647|y:95.00613|z:359.7517),Pos(x:-0.5889812|y:1.263556|z:1.355446)|Rot(x:357.1647|y:95.00613|z:359.7517),Pos(x:-0.5903169|y:1.290422|z:1.355446)|Rot(x:357.1647|y:95.00608|z:359.7517),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:7.707757|y:90|z:0),Pos(x:-0.5807664|y:1.243748|z:1.328133)|Rot(x:22.78478|y:90|z:0),Pos(x:-0.5700315|y:1.269305|z:1.328133)|Rot(x:36.35408|y:90|z:0),Pos(x:-0.553256|y:1.292097|z:1.328133)|Rot(x:36.35402|y:90.00006|z:2.968285E-05),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:4.774995|y:87.01614|z:0.1494128),Pos(x:-0.5822114|y:1.233654|z:1.304292)|Rot(x:15.65675|y:87.04542|z:0.1546262),Pos(x:-0.575115|y:1.25902|z:1.304729)|Rot(x:24.72848|y:72.08891|z:353.7805),Pos(x:-0.5640463|y:1.282316|z:1.305369)|Rot(x:24.72848|y:72.08892|z:353.7805),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:4.781877|y:85.02689|z:356.4687),Pos(x:-0.5792298|y:1.217987|z:1.281429)|Rot(x:15.66359|y:85.07568|z:356.4774),Pos(x:-0.5741965|y:1.235656|z:1.280729)|Rot(x:25.63904|y:89.71103|z:358.4736),Pos(x:-0.5658891|y:1.25296|z:1.280259)|Rot(x:25.63908|y:89.71099|z:358.4735),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:56:29
eunchae_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:317.8874|y:225.1348|z:13.1041),Pos(x:-0.5546862|y:1.153728|z:1.366728)|Rot(x:325.9805|y:228.5838|z:24.03105),Pos(x:-0.5226895|y:1.190845|z:1.368328)|Rot(x:340.2953|y:239.7453|z:45.92274),Pos(x:-0.5065995|y:1.209509|z:1.35401)|Rot(x:340.2953|y:239.7453|z:45.92272),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.2868|y:95.00561|z:359.7518),Pos(x:-0.5875931|y:1.242611|z:1.355438)|Rot(x:357.642|y:95.00407|z:359.7518),Pos(x:-0.5886667|y:1.268545|z:1.355419)|Rot(x:357.9617|y:95.00269|z:359.7519),Pos(x:-0.5896299|y:1.295427|z:1.355386)|Rot(x:357.9618|y:95.00263|z:359.7519),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:6.928918|y:90|z:0),Pos(x:-0.5814784|y:1.248814|z:1.328133)|Rot(x:20.92776|y:90|z:0),Pos(x:-0.5715772|y:1.274705|z:1.328133)|Rot(x:33.52673|y:90|z:0),Pos(x:-0.5559464|y:1.298297|z:1.328133)|Rot(x:33.52668|y:90.00006|z:2.867663E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:3.629476|y:87.01314|z:0.1491961),Pos(x:-0.5831381|y:1.238696|z:1.304243)|Rot(x:12.89106|y:87.03777|z:0.1527477),Pos(x:-0.5772722|y:1.264376|z:1.304617)|Rot(x:20.64265|y:72.52606|z:354.9417),Pos(x:-0.5679472|y:1.288426|z:1.305168)|Rot(x:20.64264|y:72.52606|z:354.9417),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:3.636372|y:85.0219|z:356.4684),Pos(x:-0.5800119|y:1.223019|z:1.281361)|Rot(x:12.8979|y:85.06292|z:356.4743),Pos(x:-0.5758335|y:1.240907|z:1.280587)|Rot(x:21.42892|y:89.54445|z:358.1024),Pos(x:-0.5688179|y:1.25877|z:1.280007)|Rot(x:21.42895|y:89.5444|z:358.1024),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:56:30
eunchae_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:317.8874|y:225.1348|z:13.1041),Pos(x:-0.5546862|y:1.153728|z:1.366728)|Rot(x:325.9805|y:228.5838|z:24.03105),Pos(x:-0.5226895|y:1.190845|z:1.368328)|Rot(x:340.2953|y:239.7453|z:45.92274),Pos(x:-0.5065995|y:1.209509|z:1.35401)|Rot(x:340.2953|y:239.7453|z:45.92272),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.2461|y:95.00579|z:359.7518),Pos(x:-0.5876262|y:1.242609|z:1.355441)|Rot(x:357.4829|y:95.00477|z:359.7518),Pos(x:-0.5887716|y:1.26854|z:1.355428)|Rot(x:357.696|y:95.00383|z:359.7518),Pos(x:-0.589859|y:1.295418|z:1.355406)|Rot(x:357.6961|y:95.00378|z:359.7519),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:5.172018|y:90|z:0),Pos(x:-0.5830885|y:1.248985|z:1.328133)|Rot(x:16.64262|y:90|z:0),Pos(x:-0.5751496|y:1.275543|z:1.328133)|Rot(x:26.96617|y:90|z:0),Pos(x:-0.5623166|y:1.300766|z:1.328133)|Rot(x:26.96612|y:90.00006|z:2.203225E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:2.260575|y:87.00957|z:0.1490125),Pos(x:-0.5842469|y:1.238753|z:1.304186)|Rot(x:9.557256|y:87.02876|z:0.1509902),Pos(x:-0.5798824|y:1.264732|z:1.304482)|Rot(x:15.6978|y:72.92607|z:356.2656),Pos(x:-0.5727303|y:1.289517|z:1.30492)|Rot(x:15.6978|y:72.92606|z:356.2656),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:2.26748|y:85.01597|z:356.468),Pos(x:-0.5809477|y:1.223067|z:1.28128)|Rot(x:9.564111|y:85.04791|z:356.4713),Pos(x:-0.5778123|y:1.241163|z:1.280415)|Rot(x:16.34216|y:89.38654|z:357.6833),Pos(x:-0.5724064|y:1.259573|z:1.279697)|Rot(x:16.34219|y:89.38651|z:357.6833),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:56:31
eunchae_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:315.9484|y:223.2702|z:15.83319),Pos(x:-0.5531794|y:1.152364|z:1.366728)|Rot(x:323.9161|y:227.2765|z:26.30676),Pos(x:-0.5194199|y:1.187885|z:1.368328)|Rot(x:337.9|y:239.2058|z:47.43435),Pos(x:-0.5024434|y:1.205746|z:1.35401)|Rot(x:337.9|y:239.2059|z:47.43434),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.2461|y:95.00579|z:359.7518),Pos(x:-0.5876262|y:1.242609|z:1.355441)|Rot(x:357.8973|y:95.00296|z:359.7519),Pos(x:-0.5885847|y:1.268548|z:1.355412)|Rot(x:358.4835|y:95.00043|z:359.752),Pos(x:-0.589304|y:1.295438|z:1.355358)|Rot(x:358.4835|y:95.00037|z:359.752),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:4.110301|y:90|z:0),Pos(x:-0.5840638|y:1.249064|z:1.328133)|Rot(x:14.10314|y:90|z:0),Pos(x:-0.5773094|y:1.275948|z:1.328133)|Rot(x:23.0967|y:90|z:0),Pos(x:-0.5662078|y:1.30198|z:1.328133)|Rot(x:23.09667|y:90.00006|z:2.041978E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:1.828195|y:87.00845|z:0.1489683),Pos(x:-0.5845974|y:1.238766|z:1.304167)|Rot(x:8.526303|y:87.02602|z:0.1505572),Pos(x:-0.5807004|y:1.264819|z:1.304439)|Rot(x:14.17494|y:73.0235|z:356.6594),Pos(x:-0.5742291|y:1.289791|z:1.304843)|Rot(x:14.17493|y:73.0235|z:356.6595),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:1.83509|y:85.01409|z:356.468),Pos(x:-0.5812435|y:1.223078|z:1.281254)|Rot(x:8.533164|y:85.04336|z:356.4706),Pos(x:-0.5784329|y:1.241226|z:1.280361)|Rot(x:14.77703|y:89.34653|z:357.5594),Pos(x:-0.5735312|y:1.259774|z:1.2796)|Rot(x:14.77707|y:89.34647|z:357.5594),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:56:32
eunchae_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:315.7482|y:223.063|z:16.13073),Pos(x:-0.5530247|y:1.152216|z:1.366728)|Rot(x:323.7014|y:227.131|z:26.55315),Pos(x:-0.5190842|y:1.187564|z:1.368328)|Rot(x:337.6487|y:239.1446|z:47.59637),Pos(x:-0.5020166|y:1.205339|z:1.35401)|Rot(x:337.6486|y:239.1446|z:47.59633),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.2461|y:95.00579|z:359.7518),Pos(x:-0.5876262|y:1.242609|z:1.355441)|Rot(x:357.8381|y:95.00323|z:359.7519),Pos(x:-0.5886114|y:1.268547|z:1.355414)|Rot(x:358.371|y:95.00091|z:359.752),Pos(x:-0.5893833|y:1.295435|z:1.355365)|Rot(x:358.371|y:95.00085|z:359.752),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:4.11073|y:90|z:0),Pos(x:-0.5840634|y:1.249064|z:1.328133)|Rot(x:14.09808|y:90|z:0),Pos(x:-0.5773114|y:1.275949|z:1.328133)|Rot(x:23.0867|y:90|z:0),Pos(x:-0.5662143|y:1.301982|z:1.328133)|Rot(x:23.08667|y:90.00006|z:2.784309E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:1.847076|y:87.00851|z:0.1489718),Pos(x:-0.5845821|y:1.238765|z:1.304168)|Rot(x:8.569446|y:87.02614|z:0.1505794),Pos(x:-0.5806655|y:1.264815|z:1.304441)|Rot(x:14.23801|y:73.01969|z:356.6432),Pos(x:-0.5741658|y:1.28978|z:1.304846)|Rot(x:14.238|y:73.01969|z:356.6432),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:1.853987|y:85.01417|z:356.468),Pos(x:-0.5812306|y:1.223077|z:1.281255)|Rot(x:8.576322|y:85.04354|z:356.4707),Pos(x:-0.5784064|y:1.241223|z:1.280364)|Rot(x:14.84185|y:89.3481|z:357.5645),Pos(x:-0.5734837|y:1.259766|z:1.279604)|Rot(x:14.84188|y:89.34806|z:357.5645),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:56:33
eunchae_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:315.4493|y:222.748|z:16.58082),Pos(x:-0.552794|y:1.151993|z:1.366728)|Rot(x:323.3802|y:226.9099|z:26.92527),Pos(x:-0.5185837|y:1.18708|z:1.368328)|Rot(x:337.2719|y:239.051|z:47.84049),Pos(x:-0.5013804|y:1.204723|z:1.35401)|Rot(x:337.2719|y:239.051|z:47.84046),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.2437|y:95.00581|z:359.7518),Pos(x:-0.5876281|y:1.242609|z:1.355441)|Rot(x:357.2437|y:95.00581|z:359.7518),Pos(x:-0.5888813|y:1.268535|z:1.355438)|Rot(x:357.2437|y:95.00581|z:359.7518),Pos(x:-0.59018|y:1.295403|z:1.355434)|Rot(x:357.2438|y:95.00574|z:359.7518),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:0.9958574|y:90|z:0),Pos(x:-0.586931|y:1.249192|z:1.328133)|Rot(x:6.480644|y:90|z:0),Pos(x:-0.5838023|y:1.276734|z:1.328133)|Rot(x:11.41698|y:90|z:0),Pos(x:-0.5782004|y:1.304474|z:1.328133)|Rot(x:11.41693|y:90.00006|z:7.839077E-06),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:0.4804754|y:87.00494|z:0.1488984),Pos(x:-0.5856903|y:1.238788|z:1.30411)|Rot(x:5.224357|y:87.0173|z:0.1495196),Pos(x:-0.5832983|y:1.265023|z:1.304304)|Rot(x:9.261364|y:73.26196|z:357.8972),Pos(x:-0.5790521|y:1.290469|z:1.304592)|Rot(x:9.261366|y:73.26196|z:357.8972),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:0.4873877|y:85.00825|z:356.4679),Pos(x:-0.5821659|y:1.223097|z:1.281173)|Rot(x:5.231243|y:85.02884|z:356.4689),Pos(x:-0.5804009|y:1.241371|z:1.28019)|Rot(x:9.730484|y:89.24237|z:357.1723),Pos(x:-0.5771475|y:1.260272|z:1.279286)|Rot(x:9.730516|y:89.24232|z:357.1723),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:56:34
eunchae_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:315.7482|y:223.063|z:16.13073),Pos(x:-0.5530247|y:1.152216|z:1.366728)|Rot(x:323.7014|y:227.131|z:26.55315),Pos(x:-0.5190842|y:1.187564|z:1.368328)|Rot(x:337.6487|y:239.1446|z:47.59637),Pos(x:-0.5020166|y:1.205339|z:1.35401)|Rot(x:337.6486|y:239.1446|z:47.59633),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.2042|y:95.00597|z:359.7517),Pos(x:-0.5876603|y:1.242608|z:1.355443)|Rot(x:357.5422|y:95.00452|z:359.7518),Pos(x:-0.5887789|y:1.268539|z:1.355429)|Rot(x:357.8465|y:95.00319|z:359.7519),Pos(x:-0.589796|y:1.29542|z:1.355401)|Rot(x:357.8465|y:95.00313|z:359.7519),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:0.6904542|y:90|z:0),Pos(x:-0.5872124|y:1.249196|z:1.328133)|Rot(x:5.750776|y:90|z:0),Pos(x:-0.5844349|y:1.276776|z:1.328133)|Rot(x:10.30508|y:90|z:0),Pos(x:-0.5793723|y:1.304619|z:1.328133)|Rot(x:10.30503|y:90.00006|z:4.772743E-06),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:0.5158531|y:87.00504|z:0.1488994),Pos(x:-0.5856616|y:1.238787|z:1.304112)|Rot(x:5.320408|y:87.01756|z:0.1495419),Pos(x:-0.5832257|y:1.265018|z:1.304307)|Rot(x:9.407705|y:73.25648|z:357.861),Pos(x:-0.5789127|y:1.290453|z:1.304599)|Rot(x:9.407701|y:73.25648|z:357.861),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:0.5227654|y:85.00841|z:356.4679),Pos(x:-0.5821417|y:1.223096|z:1.281175)|Rot(x:5.327287|y:85.02926|z:356.4689),Pos(x:-0.5803462|y:1.241368|z:1.280195)|Rot(x:9.880707|y:89.24495|z:357.1836),Pos(x:-0.5770433|y:1.260261|z:1.279295)|Rot(x:9.880756|y:89.2449|z:357.1836),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:56:35
eunchae_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:315.4493|y:222.748|z:16.58082),Pos(x:-0.552794|y:1.151993|z:1.366728)|Rot(x:323.3802|y:226.9099|z:26.92527),Pos(x:-0.5185837|y:1.18708|z:1.368328)|Rot(x:337.2719|y:239.051|z:47.84049),Pos(x:-0.5013804|y:1.204723|z:1.35401)|Rot(x:337.2719|y:239.051|z:47.84046),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.5202|y:95.0046|z:359.7518),Pos(x:-0.5874032|y:1.24262|z:1.355421)|Rot(x:0.9568091|y:94.98973|z:359.752),Pos(x:-0.5869812|y:1.268572|z:1.355271)|Rot(x:4.04973|y:94.97633|z:359.7514),Pos(x:-0.5850988|y:1.295404|z:1.35499)|Rot(x:4.04978|y:94.97625|z:359.7514),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:1.460924|y:90|z:0),Pos(x:-0.5865024|y:1.249183|z:1.328133)|Rot(x:7.736298|y:90|z:0),Pos(x:-0.582771|y:1.27665|z:1.328133)|Rot(x:13.38414|y:90|z:0),Pos(x:-0.5762202|y:1.304181|z:1.328133)|Rot(x:13.3841|y:90.00005|z:4.826851E-06),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:0.7755886|y:87.00571|z:0.1489088),Pos(x:-0.5854509|y:1.238785|z:1.304123)|Rot(x:6.031467|y:87.01943|z:0.1497241),Pos(x:-0.5826902|y:1.264983|z:1.304335)|Rot(x:10.49287|y:73.21272|z:357.591),Pos(x:-0.5778827|y:1.29033|z:1.304653)|Rot(x:10.49286|y:73.21273|z:357.591),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:0.7824979|y:85.00953|z:356.4679),Pos(x:-0.5819639|y:1.223094|z:1.281191)|Rot(x:6.038359|y:85.03239|z:356.4692),Pos(x:-0.5799426|y:1.241344|z:1.28023)|Rot(x:10.9949|y:89.26503|z:357.2678),Pos(x:-0.5762735|y:1.26017|z:1.279362)|Rot(x:10.99493|y:89.26498|z:357.2678),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:56:36
eunchae_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:329.7488|y:232.7126|z:0.3705895),Pos(x:-0.5642644|y:1.159933|z:1.366728)|Rot(x:338.226|y:233.8127|z:12.94606),Pos(x:-0.5434729|y:1.204308|z:1.368328)|Rot(x:353.963|y:241.5112|z:38.06303),Pos(x:-0.5330176|y:1.226622|z:1.35401)|Rot(x:353.963|y:241.5113|z:38.06303),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.6387|y:95.00409|z:359.7518),Pos(x:-0.5873068|y:1.242624|z:1.355413)|Rot(x:1.638685|y:94.98676|z:359.752),Pos(x:-0.5865772|y:1.268569|z:1.355236)|Rot(x:5.238656|y:94.97114|z:359.751),Pos(x:-0.5841405|y:1.295356|z:1.354907)|Rot(x:5.238701|y:94.97108|z:359.751),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:1.686216|y:90|z:0),Pos(x:-0.5862949|y:1.249177|z:1.328133)|Rot(x:8.314189|y:90|z:0),Pos(x:-0.5822866|y:1.276605|z:1.328133)|Rot(x:14.27938|y:90|z:0),Pos(x:-0.5753064|y:1.304031|z:1.328133)|Rot(x:14.27934|y:90.00005|z:7.488433E-06),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:359.8766|y:87.00336|z:0.1488982),Pos(x:-0.5861801|y:1.238789|z:1.304085)|Rot(x:3.817873|y:87.01364|z:0.1492273),Pos(x:-0.5844319|y:1.265075|z:1.304244)|Rot(x:7.193117|y:73.32938|z:358.407),Pos(x:-0.5811326|y:1.290662|z:1.304484)|Rot(x:7.193117|y:73.32939|z:358.407),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:359.8836|y:85.00564|z:356.4679),Pos(x:-0.5825793|y:1.223098|z:1.281137)|Rot(x:3.824765|y:85.02271|z:356.4684),Pos(x:-0.5812615|y:1.241408|z:1.280115)|Rot(x:7.607378|y:89.20927|z:357.0139),Pos(x:-0.5787096|y:1.260414|z:1.27915)|Rot(x:7.607417|y:89.20922|z:357.0139),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:56:37
eunchae_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:320.5301|y:227.3196|z:9.76117),Pos(x:-0.5567665|y:1.155409|z:1.366728)|Rot(x:328.7567|y:230.1105|z:21.20107),Pos(x:-0.5272034|y:1.194491|z:1.368328)|Rot(x:343.4654|y:240.3433|z:44.00085),Pos(x:-0.5123371|y:1.214144|z:1.35401)|Rot(x:343.4654|y:240.3433|z:44.00082),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.6387|y:95.00409|z:359.7518),Pos(x:-0.5873068|y:1.242624|z:1.355413)|Rot(x:1.976717|y:94.9853|z:359.7519),Pos(x:-0.5864247|y:1.268564|z:1.355223)|Rot(x:5.880906|y:94.96833|z:359.7507),Pos(x:-0.583689|y:1.295322|z:1.354868)|Rot(x:5.880951|y:94.96825|z:359.7507),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:1.082877|y:90|z:0),Pos(x:-0.5868508|y:1.24919|z:1.328133)|Rot(x:6.82412|y:90|z:0),Pos(x:-0.5835571|y:1.276713|z:1.328133)|Rot(x:11.99124|y:90|z:0),Pos(x:-0.5776774|y:1.304396|z:1.328133)|Rot(x:11.99121|y:90.00006|z:8.29178E-06),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:358.9021|y:87.00083|z:0.1489239),Pos(x:-0.5869704|y:1.238781|z:1.304043)|Rot(x:1.420485|y:87.0074|z:0.1489326),Pos(x:-0.5863218|y:1.265117|z:1.304146)|Rot(x:3.618769|y:73.40193|z:359.2779),Pos(x:-0.5846685|y:1.290864|z:1.304299)|Rot(x:3.618762|y:73.40192|z:359.2779),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:358.9091|y:85.00143|z:356.4679),Pos(x:-0.5832464|y:1.223091|z:1.281079)|Rot(x:1.42739|y:85.01231|z:356.4679),Pos(x:-0.5826924|y:1.241436|z:1.27999)|Rot(x:3.939205|y:89.16621|z:356.7444),Pos(x:-0.5813599|y:1.26056|z:1.278919)|Rot(x:3.939247|y:89.16619|z:356.7443),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:56:38
eunchae_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:321.0697|y:227.7227|z:9.12353),Pos(x:-0.5571951|y:1.155729|z:1.366728)|Rot(x:329.3193|y:230.3912|z:20.65546),Pos(x:-0.5281336|y:1.195185|z:1.368328)|Rot(x:344.1016|y:240.4484|z:43.62441),Pos(x:-0.5135195|y:1.215027|z:1.35401)|Rot(x:344.1016|y:240.4485|z:43.62437),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.2832|y:95.00563|z:359.7518),Pos(x:-0.587596|y:1.242611|z:1.355438)|Rot(x:357.2832|y:95.00563|z:359.7518),Pos(x:-0.5888314|y:1.268537|z:1.355433)|Rot(x:357.2832|y:95.00563|z:359.7518),Pos(x:-0.5901117|y:1.295407|z:1.355428)|Rot(x:357.2832|y:95.00556|z:359.7518),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.249135|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.27682|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.305085|z:1.328133)|Rot(x:357.1538|y:90.00006|z:-3.739872E-06),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:357.1577|y:86.9963|z:0.1490755),Pos(x:-0.5883844|y:1.238732|z:1.303969)|Rot(x:357.1577|y:86.9963|z:0.1490755),Pos(x:-0.5896925|y:1.265044|z:1.303969)|Rot(x:357.2723|y:73.3969|z:0.8129447),Pos(x:-0.5909736|y:1.290812|z:1.303969)|Rot(x:357.2723|y:73.3969|z:0.8129502),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:357.1647|y:84.99387|z:356.4682),Pos(x:-0.5844397|y:1.22305|z:1.280974)|Rot(x:357.1647|y:84.99387|z:356.4682),Pos(x:-0.5852451|y:1.241379|z:1.279767)|Rot(x:357.427|y:89.13229|z:356.2729),Pos(x:-0.5860863|y:1.260519|z:1.278506)|Rot(x:357.4271|y:89.13226|z:356.2728),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:56:39
