Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip,IsTouching,MaxForce,Material,Rendering Method,TimeStamp
areum_T,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.584217|y:1.160885|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5866516|y:1.209854|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5880667|y:1.238319|z:1.353552)|Rot(x:358.4391|y:146.7619|z:357.6198),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5876924|y:1.237632|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5889812|y:1.263556|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5903169|y:1.290422|z:1.355446)|Rot(x:357.1539|y:89.99994|z:8.761986E-06),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.24416|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.271846|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.300111|z:1.328133)|Rot(x:357.1538|y:90.00005|z:-1.282242E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5883844|y:1.233758|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5896925|y:1.26007|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689773),Pos(x:-0.5909736|y:1.285838|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689875),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5846661|y:1.218064|z:1.280964)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5855771|y:1.236388|z:1.279752)|Rot(x:357.4341|y:94.13728|z:356.0245),Pos(x:-0.5865284|y:1.255522|z:1.278486)|Rot(x:357.4341|y:94.13724|z:356.0245),No,,,,2024-08-27 15:28:10
areum_T,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:325.4347|y:229.7405|z:8.994899),Pos(x:-0.558822|y:1.152743|z:1.364215)|Rot(x:335.2261|y:232.9665|z:23.00035),Pos(x:-0.5321863|y:1.193722|z:1.360312)|Rot(x:352.1043|y:246.4322|z:52.3316),Pos(x:-0.5209733|y:1.210973|z:1.340591)|Rot(x:352.1043|y:246.4322|z:52.33158),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:4.092775|y:94.97613|z:359.7514),Pos(x:-0.582055|y:1.23757|z:1.354954)|Rot(x:11.69593|y:94.94254|z:359.7468),Pos(x:-0.5768228|y:1.262986|z:1.354386)|Rot(x:18.53876|y:94.91071|z:359.7385),Pos(x:-0.568312|y:1.28849|z:1.353532)|Rot(x:18.5388|y:94.91065|z:359.7385),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:10.44741|y:90|z:0),Pos(x:-0.5782734|y:1.24335|z:1.328133)|Rot(x:28.73379|y:90|z:0),Pos(x:-0.5649474|y:1.267656|z:1.328133)|Rot(x:45.19155|y:90|z:0),Pos(x:-0.5448695|y:1.2876|z:1.328133)|Rot(x:45.1915|y:90.00007|z:4.603602E-05),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:7.463444|y:87.02319|z:0.1501641),Pos(x:-0.5800434|y:1.233421|z:1.304405)|Rot(x:21.72852|y:87.06303|z:0.1602842),Pos(x:-0.5703072|y:1.257893|z:1.304978)|Rot(x:33.51192|y:70.74516|z:350.9791),Pos(x:-0.5556918|y:1.279138|z:1.305798)|Rot(x:33.51192|y:70.74517|z:350.9791),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:7.470319|y:85.03866|z:356.47),Pos(x:-0.5774|y:1.217789|z:1.281588)|Rot(x:21.7353|y:85.105|z:356.4868),Pos(x:-0.5705327|y:1.234836|z:1.281046)|Rot(x:34.72188|y:90.20938|z:359.3834),Pos(x:-0.559598|y:1.250616|z:1.280799)|Rot(x:34.72193|y:90.20934|z:359.3833),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 15:28:11
areum_T,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:325.0636|y:229.5374|z:9.280579),Pos(x:-0.5585592|y:1.157529|z:1.36427)|Rot(x:334.8093|y:232.8113|z:23.18761),Pos(x:-0.5316081|y:1.198312|z:1.360485)|Rot(x:351.6075|y:246.2783|z:52.28022),Pos(x:-0.520209|y:1.215562|z:1.34087)|Rot(x:351.6074|y:246.2783|z:52.28021),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:4.092775|y:94.97613|z:359.7514),Pos(x:-0.582055|y:1.242544|z:1.354954)|Rot(x:11.79663|y:94.94207|z:359.7467),Pos(x:-0.5767783|y:1.267951|z:1.354383)|Rot(x:18.73011|y:94.90981|z:359.7382),Pos(x:-0.5681828|y:1.293427|z:1.353521)|Rot(x:18.73014|y:94.90973|z:359.7382),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:10.42974|y:90|z:0),Pos(x:-0.5782894|y:1.248327|z:1.328133)|Rot(x:28.72182|y:90|z:0),Pos(x:-0.5649685|y:1.272636|z:1.328133)|Rot(x:45.18472|y:90|z:0),Pos(x:-0.544893|y:1.292583|z:1.328133)|Rot(x:45.18466|y:90.00007|z:5.087581E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:7.47227|y:87.02323|z:0.1501697),Pos(x:-0.5800363|y:1.238394|z:1.304405)|Rot(x:21.76847|y:87.06315|z:0.1603288),Pos(x:-0.5702831|y:1.26286|z:1.304979)|Rot(x:33.57717|y:70.73272|z:350.9563),Pos(x:-0.5556425|y:1.284088|z:1.305801)|Rot(x:33.57716|y:70.73272|z:350.9563),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:7.479135|y:85.0387|z:356.47),Pos(x:-0.577394|y:1.222763|z:1.281589)|Rot(x:21.77525|y:85.10519|z:356.4869),Pos(x:-0.5705149|y:1.239805|z:1.281047)|Rot(x:34.78958|y:90.21397|z:359.3909),Pos(x:-0.5595615|y:1.255572|z:1.280802)|Rot(x:34.78962|y:90.2139|z:359.3908),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 15:28:12
areum_T,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:324.7332|y:229.3386|z:9.626145),Pos(x:-0.5582903|y:1.157349|z:1.36427)|Rot(x:334.4632|y:232.6866|z:23.47886),Pos(x:-0.5310305|y:1.197927|z:1.360485)|Rot(x:351.2094|y:246.2519|z:52.45722),Pos(x:-0.5195008|y:1.21509|z:1.34087)|Rot(x:351.2094|y:246.2519|z:52.45721),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:4.041457|y:94.97634|z:359.7514),Pos(x:-0.5820967|y:1.242547|z:1.354958)|Rot(x:11.69497|y:94.94254|z:359.7468),Pos(x:-0.5768649|y:1.267964|z:1.35439)|Rot(x:18.58311|y:94.91049|z:359.7384),Pos(x:-0.5683345|y:1.293461|z:1.353534)|Rot(x:18.58316|y:94.91045|z:359.7384),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:10.44532|y:90|z:0),Pos(x:-0.5782753|y:1.248325|z:1.328133)|Rot(x:28.76507|y:90|z:0),Pos(x:-0.5649361|y:1.272624|z:1.328133)|Rot(x:45.25283|y:90|z:0),Pos(x:-0.5448369|y:1.292546|z:1.328133)|Rot(x:45.25278|y:90.00008|z:5.093679E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:7.469513|y:87.02321|z:0.1501648),Pos(x:-0.5800385|y:1.238394|z:1.304405)|Rot(x:21.76638|y:87.06315|z:0.1603264),Pos(x:-0.5702862|y:1.26286|z:1.304979)|Rot(x:33.57573|y:70.73298|z:350.9568),Pos(x:-0.5556462|y:1.284089|z:1.305801)|Rot(x:33.57571|y:70.73299|z:350.9568),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:7.476376|y:85.03867|z:356.47),Pos(x:-0.5773959|y:1.222763|z:1.281589)|Rot(x:21.77316|y:85.10519|z:356.4869),Pos(x:-0.5705174|y:1.239806|z:1.281047)|Rot(x:34.78809|y:90.21387|z:359.3907),Pos(x:-0.5595644|y:1.255573|z:1.280802)|Rot(x:34.78812|y:90.21382|z:359.3907),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 15:28:13
areum_T,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:324.8902|y:229.4368|z:9.441525),Pos(x:-0.5584261|y:1.157437|z:1.364281)|Rot(x:334.622|y:232.7425|z:23.31244),Pos(x:-0.5313194|y:1.198119|z:1.36052)|Rot(x:351.3885|y:246.2391|z:52.32283),Pos(x:-0.5198436|y:1.215342|z:1.340927)|Rot(x:351.3885|y:246.2391|z:52.3228),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:4.092775|y:94.97613|z:359.7514),Pos(x:-0.582055|y:1.242544|z:1.354954)|Rot(x:11.59523|y:94.94299|z:359.7469),Pos(x:-0.5768673|y:1.26797|z:1.35439)|Rot(x:18.34742|y:94.91162|z:359.7388),Pos(x:-0.5684415|y:1.293502|z:1.353543)|Rot(x:18.34747|y:94.91156|z:359.7387),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:10.46507|y:90|z:0),Pos(x:-0.5782574|y:1.248321|z:1.328133)|Rot(x:28.74577|y:90|z:0),Pos(x:-0.5649264|y:1.272625|z:1.328133)|Rot(x:45.19838|y:90|z:0),Pos(x:-0.5448461|y:1.292567|z:1.328133)|Rot(x:45.19835|y:90.00007|z:4.846478E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:7.454548|y:87.02318|z:0.1501679),Pos(x:-0.5800506|y:1.238396|z:1.304404)|Rot(x:21.68852|y:87.06292|z:0.1602397),Pos(x:-0.5703314|y:1.262875|z:1.304977)|Rot(x:33.44663|y:70.75757|z:351.002),Pos(x:-0.5557413|y:1.284138|z:1.305796)|Rot(x:33.44663|y:70.75757|z:351.002),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:7.461417|y:85.03861|z:356.47),Pos(x:-0.577406|y:1.222765|z:1.281588)|Rot(x:21.6953|y:85.10479|z:356.4868),Pos(x:-0.5705506|y:1.239816|z:1.281044)|Rot(x:34.65417|y:90.20483|z:359.3759),Pos(x:-0.5596345|y:1.255609|z:1.280796)|Rot(x:34.65421|y:90.2048|z:359.3758),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 15:28:14
areum_T,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:324.554|y:229.235|z:9.779303),Pos(x:-0.5581592|y:1.157255|z:1.36429)|Rot(x:334.2649|y:232.6109|z:23.58802),Pos(x:-0.5307437|y:1.197732|z:1.360549)|Rot(x:350.9745|y:246.1907|z:52.46333),Pos(x:-0.5191283|y:1.214881|z:1.340972)|Rot(x:350.9745|y:246.1908|z:52.46331),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:4.041457|y:94.97634|z:359.7514),Pos(x:-0.5820967|y:1.242547|z:1.354958)|Rot(x:11.69497|y:94.94254|z:359.7468),Pos(x:-0.5768649|y:1.267964|z:1.35439)|Rot(x:18.58311|y:94.91049|z:359.7384),Pos(x:-0.5683345|y:1.293461|z:1.353534)|Rot(x:18.58316|y:94.91045|z:359.7384),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:10.42572|y:90|z:0),Pos(x:-0.578293|y:1.248328|z:1.328133)|Rot(x:28.7191|y:90|z:0),Pos(x:-0.5649734|y:1.272638|z:1.328133)|Rot(x:45.18314|y:90|z:0),Pos(x:-0.5448983|y:1.292585|z:1.328133)|Rot(x:45.1831|y:90.00007|z:4.360663E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:7.427809|y:87.02311|z:0.1501515),Pos(x:-0.5800721|y:1.238399|z:1.304403)|Rot(x:21.66815|y:87.06285|z:0.160217),Pos(x:-0.5703616|y:1.262882|z:1.304975)|Rot(x:33.43259|y:70.76023|z:351.0069),Pos(x:-0.5557769|y:1.284148|z:1.305794)|Rot(x:33.43259|y:70.76025|z:351.0069),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:7.434683|y:85.0385|z:356.47),Pos(x:-0.5774242|y:1.222767|z:1.281586)|Rot(x:21.67494|y:85.10469|z:356.4867),Pos(x:-0.5705748|y:1.239821|z:1.281042)|Rot(x:34.6396|y:90.20384|z:359.3742),Pos(x:-0.5596627|y:1.255617|z:1.280793)|Rot(x:34.63965|y:90.20378|z:359.3742),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 15:28:15
areum_T,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:324.8837|y:229.4354|z:9.432227),Pos(x:-0.5584273|y:1.157435|z:1.36429)|Rot(x:334.6106|y:232.737|z:23.29578),Pos(x:-0.5313199|y:1.198119|z:1.360549)|Rot(x:351.3724|y:246.218|z:52.28582),Pos(x:-0.519835|y:1.215355|z:1.340972)|Rot(x:351.3723|y:246.218|z:52.28578),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:4.041457|y:94.97634|z:359.7514),Pos(x:-0.5820967|y:1.242547|z:1.354958)|Rot(x:11.69497|y:94.94254|z:359.7468),Pos(x:-0.5768649|y:1.267964|z:1.35439)|Rot(x:18.58311|y:94.91049|z:359.7384),Pos(x:-0.5683345|y:1.293461|z:1.353534)|Rot(x:18.58316|y:94.91045|z:359.7384),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:10.42572|y:90|z:0),Pos(x:-0.578293|y:1.248328|z:1.328133)|Rot(x:28.7191|y:90|z:0),Pos(x:-0.5649734|y:1.272638|z:1.328133)|Rot(x:45.18314|y:90|z:0),Pos(x:-0.5448983|y:1.292585|z:1.328133)|Rot(x:45.1831|y:90.00007|z:4.360663E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:7.469513|y:87.02321|z:0.1501648),Pos(x:-0.5800385|y:1.238394|z:1.304405)|Rot(x:21.76638|y:87.06315|z:0.1603264),Pos(x:-0.5702862|y:1.26286|z:1.304979)|Rot(x:33.57573|y:70.73298|z:350.9568),Pos(x:-0.5556462|y:1.284089|z:1.305801)|Rot(x:33.57571|y:70.73299|z:350.9568),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:7.476376|y:85.03867|z:356.47),Pos(x:-0.5773959|y:1.222763|z:1.281589)|Rot(x:21.77316|y:85.10519|z:356.4869),Pos(x:-0.5705174|y:1.239806|z:1.281047)|Rot(x:34.78809|y:90.21387|z:359.3907),Pos(x:-0.5595644|y:1.255573|z:1.280802)|Rot(x:34.78812|y:90.21382|z:359.3907),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 15:28:16
areum_T,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:324.8837|y:229.4354|z:9.432227),Pos(x:-0.5584273|y:1.157435|z:1.36429)|Rot(x:334.6106|y:232.737|z:23.29578),Pos(x:-0.5313199|y:1.198119|z:1.360549)|Rot(x:351.3724|y:246.218|z:52.28582),Pos(x:-0.519835|y:1.215355|z:1.340972)|Rot(x:351.3723|y:246.218|z:52.28578),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:4.195421|y:94.97569|z:359.7514),Pos(x:-0.5819717|y:1.242538|z:1.354947)|Rot(x:11.69786|y:94.94252|z:359.7468),Pos(x:-0.5767386|y:1.267954|z:1.354379)|Rot(x:18.45006|y:94.91113|z:359.7386),Pos(x:-0.5682672|y:1.293472|z:1.353528)|Rot(x:18.45011|y:94.91109|z:359.7386),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:10.49078|y:90|z:0),Pos(x:-0.5782341|y:1.248317|z:1.328133)|Rot(x:28.76318|y:90|z:0),Pos(x:-0.5648957|y:1.272617|z:1.328133)|Rot(x:45.20834|y:90|z:0),Pos(x:-0.5448119|y:1.292555|z:1.328133)|Rot(x:45.2083|y:90.00007|z:5.33206E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:7.451027|y:87.02316|z:0.150171),Pos(x:-0.5800534|y:1.238396|z:1.304404)|Rot(x:21.65263|y:87.0628|z:0.1601952),Pos(x:-0.5703495|y:1.262882|z:1.304976)|Rot(x:33.3842|y:70.76941|z:351.0237),Pos(x:-0.5557835|y:1.284161|z:1.305794)|Rot(x:33.3842|y:70.7694|z:351.0237),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:7.457911|y:85.0386|z:356.47),Pos(x:-0.5774084|y:1.222765|z:1.281587)|Rot(x:21.65942|y:85.10462|z:356.4867),Pos(x:-0.5705636|y:1.239821|z:1.281043)|Rot(x:34.58942|y:90.20048|z:359.3687),Pos(x:-0.5596654|y:1.255626|z:1.280793)|Rot(x:34.58946|y:90.20043|z:359.3687),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 15:28:17
areum_T,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:324.7187|y:229.3356|z:9.605414),Pos(x:-0.5582931|y:1.157345|z:1.36429)|Rot(x:334.4377|y:232.6742|z:23.4417),Pos(x:-0.5310314|y:1.197926|z:1.360549)|Rot(x:351.1735|y:246.2045|z:52.37451),Pos(x:-0.5194812|y:1.215119|z:1.340972)|Rot(x:351.1734|y:246.2045|z:52.37449),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:4.144099|y:94.9759|z:359.7514),Pos(x:-0.5820134|y:1.242541|z:1.35495)|Rot(x:11.84796|y:94.94186|z:359.7466),Pos(x:-0.5767139|y:1.267944|z:1.354377)|Rot(x:18.78141|y:94.90955|z:359.7381),Pos(x:-0.5680956|y:1.293411|z:1.353513)|Rot(x:18.78147|y:94.90948|z:359.7381),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:10.48187|y:90|z:0),Pos(x:-0.5782421|y:1.248319|z:1.328133)|Rot(x:28.82249|y:90|z:0),Pos(x:-0.5648786|y:1.272604|z:1.328133)|Rot(x:45.32904|y:90|z:0),Pos(x:-0.5447529|y:1.2925|z:1.328133)|Rot(x:45.32901|y:90.00008|z:5.829178E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:7.418397|y:87.02309|z:0.1501465),Pos(x:-0.5800797|y:1.2384|z:1.304403)|Rot(x:21.62775|y:87.06274|z:0.1601767),Pos(x:-0.5703864|y:1.262889|z:1.304974)|Rot(x:33.36704|y:70.77264|z:351.0297),Pos(x:-0.555827|y:1.284173|z:1.305791)|Rot(x:33.36703|y:70.77266|z:351.0297),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:7.425271|y:85.03845|z:356.47),Pos(x:-0.5774306|y:1.222768|z:1.281586)|Rot(x:21.63453|y:85.1045|z:356.4867),Pos(x:-0.5705931|y:1.239827|z:1.28104)|Rot(x:34.57161|y:90.1993|z:359.3667),Pos(x:-0.5596998|y:1.255635|z:1.28079)|Rot(x:34.57164|y:90.19925|z:359.3667),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 15:28:18
areum_T,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:325.2134|y:229.6324|z:9.08637),Pos(x:-0.5586971|y:1.157613|z:1.364291)|Rot(x:334.955|y:232.8599|z:23.00237),Pos(x:-0.531899|y:1.198501|z:1.360554)|Rot(x:351.7675|y:246.2403|z:52.10228),Pos(x:-0.5205437|y:1.215827|z:1.34098)|Rot(x:351.7675|y:246.2404|z:52.10227),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:4.092775|y:94.97613|z:359.7514),Pos(x:-0.582055|y:1.242544|z:1.354954)|Rot(x:11.74628|y:94.94231|z:359.7467),Pos(x:-0.5768006|y:1.267956|z:1.354385)|Rot(x:18.63443|y:94.91026|z:359.7383),Pos(x:-0.5682474|y:1.293446|z:1.353526)|Rot(x:18.63448|y:94.91019|z:359.7383),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:10.47783|y:90|z:0),Pos(x:-0.5782458|y:1.248319|z:1.328133)|Rot(x:28.81974|y:90|z:0),Pos(x:-0.5648834|y:1.272605|z:1.328133)|Rot(x:45.32748|y:90|z:0),Pos(x:-0.5447583|y:1.292502|z:1.328133)|Rot(x:45.32746|y:90.00006|z:3.886011E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:7.415678|y:87.02308|z:0.150149),Pos(x:-0.5800819|y:1.2384|z:1.304403)|Rot(x:21.62567|y:87.06271|z:0.1601653),Pos(x:-0.5703894|y:1.26289|z:1.304974)|Rot(x:33.3656|y:70.77293|z:351.0302),Pos(x:-0.5558307|y:1.284174|z:1.305791)|Rot(x:33.36559|y:70.77291|z:351.0302),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:7.422544|y:85.03846|z:356.4699),Pos(x:-0.5774325|y:1.222768|z:1.281585)|Rot(x:21.63246|y:85.10447|z:356.4866),Pos(x:-0.5705956|y:1.239827|z:1.28104)|Rot(x:34.57011|y:90.19918|z:359.3666),Pos(x:-0.5597027|y:1.255636|z:1.28079)|Rot(x:34.57016|y:90.19915|z:359.3665),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 15:28:19
areum_T,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:324.8826|y:229.4352|z:9.430624),Pos(x:-0.5584276|y:1.157435|z:1.364291)|Rot(x:334.6086|y:232.7361|z:23.29294),Pos(x:-0.53132|y:1.198119|z:1.360554)|Rot(x:351.3696|y:246.2144|z:52.27947),Pos(x:-0.5198334|y:1.215358|z:1.34098)|Rot(x:351.3696|y:246.2144|z:52.27947),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:4.092775|y:94.97613|z:359.7514),Pos(x:-0.582055|y:1.242544|z:1.354954)|Rot(x:11.74628|y:94.94231|z:359.7467),Pos(x:-0.5768006|y:1.267956|z:1.354385)|Rot(x:18.63443|y:94.91026|z:359.7383),Pos(x:-0.5682474|y:1.293446|z:1.353526)|Rot(x:18.63448|y:94.91019|z:359.7383),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:10.61518|y:90|z:0),Pos(x:-0.5781214|y:1.248296|z:1.328133)|Rot(x:29.14154|y:90|z:0),Pos(x:-0.5646228|y:1.272507|z:1.328133)|Rot(x:45.81524|y:90|z:0),Pos(x:-0.544329|y:1.292231|z:1.328133)|Rot(x:45.81519|y:90.00008|z:5.879859E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:7.415678|y:87.02308|z:0.150149),Pos(x:-0.5800819|y:1.2384|z:1.304403)|Rot(x:21.62567|y:87.06271|z:0.1601653),Pos(x:-0.5703894|y:1.26289|z:1.304974)|Rot(x:33.3656|y:70.77293|z:351.0302),Pos(x:-0.5558307|y:1.284174|z:1.305791)|Rot(x:33.36559|y:70.77291|z:351.0302),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:7.422544|y:85.03846|z:356.4699),Pos(x:-0.5774325|y:1.222768|z:1.281585)|Rot(x:21.63246|y:85.10447|z:356.4866),Pos(x:-0.5705956|y:1.239827|z:1.28104)|Rot(x:34.57011|y:90.19918|z:359.3666),Pos(x:-0.5597027|y:1.255636|z:1.28079)|Rot(x:34.57016|y:90.19915|z:359.3665),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 15:28:20
areum_T,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:324.224|y:229.031|z:10.12764),Pos(x:-0.5578926|y:1.157072|z:1.364291)|Rot(x:333.9178|y:232.4815|z:23.87914),Pos(x:-0.5301706|y:1.19734|z:1.360554)|Rot(x:350.5741|y:246.1586|z:52.63496),Pos(x:-0.5184239|y:1.214403|z:1.34098)|Rot(x:350.5741|y:246.1586|z:52.63494),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:4.041457|y:94.97634|z:359.7514),Pos(x:-0.5820967|y:1.242547|z:1.354958)|Rot(x:11.74531|y:94.94231|z:359.7467),Pos(x:-0.5768427|y:1.267959|z:1.354388)|Rot(x:18.67878|y:94.91004|z:359.7383),Pos(x:-0.5682698|y:1.293442|z:1.353528)|Rot(x:18.67883|y:94.90997|z:359.7382),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:10.65182|y:90|z:0),Pos(x:-0.5780882|y:1.24829|z:1.328133)|Rot(x:29.26451|y:90|z:0),Pos(x:-0.5645377|y:1.272472|z:1.328133)|Rot(x:46.01592|y:90|z:0),Pos(x:-0.5441749|y:1.292125|z:1.328133)|Rot(x:46.01587|y:90.00008|z:6.392925E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:7.400979|y:87.02303|z:0.1501492),Pos(x:-0.5800937|y:1.238402|z:1.304402)|Rot(x:21.61449|y:87.06269|z:0.1601602),Pos(x:-0.5704061|y:1.262893|z:1.304973)|Rot(x:33.35786|y:70.77438|z:351.0329),Pos(x:-0.5558502|y:1.28418|z:1.30579)|Rot(x:33.35788|y:70.77439|z:351.0329),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:7.407854|y:85.03838|z:356.4699),Pos(x:-0.5774424|y:1.222769|z:1.281585)|Rot(x:21.62126|y:85.10443|z:356.4866),Pos(x:-0.5706089|y:1.23983|z:1.281039)|Rot(x:34.5621|y:90.19866|z:359.3657),Pos(x:-0.5597182|y:1.25564|z:1.280789)|Rot(x:34.56214|y:90.19859|z:359.3656),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 15:28:21
